S,I,R,Reaction Type
49,30,127,2
49,29,128,6
50,29,128,1
49,30,128,6
50,30,128,2
50,29,129,1
49,30,129,2
49,29,130,5
49,29,129,1
48,30,129,2
48,29,130,1
47,30,130,1
46,31,130,2
46,30,131,6
47,30,131,2
47,29,132,2
47,28,133,1
46,29,133,2
46,28,134,1
45,29,134,2
45,28,135,6
46,28,135,1
45,29,135,6
46,29,135,1
45,30,135,2
45,29,136,2
45,28,137,2
45,27,138,1
44,28,138,2
44,27,139,6
45,27,139,1
44,28,139,2
44,27,140,6
45,27,140,2
45,26,141,1
44,27,141,5
44,27,140,2
44,26,141,2
44,25,142,2
44,24,143,2
44,23,144,6
45,23,144,1
44,24,144,1
43,25,144,1
42,26,144,2
42,25,145,6
43,25,145,1
42,26,145,6
43,26,145,1
42,27,145,2
42,26,146,2
42,25,147,6
43,25,147,1
42,26,147,1
41,27,147,2
41,26,148,2
41,25,149,1
40,26,149,6
41,26,149,6
42,26,149,6
43,26,149,2
43,25,150,1
42,26,150,5
42,26,149,2
42,25,150,2
42,24,151,1
41,25,151,6
42,25,151,2
42,24,152,1
41,25,152,2
41,24,153,1
40,25,153,1
39,26,153,6
40,26,153,1
39,27,153,2
39,26,154,1
38,27,154,1
37,28,154,6
38,28,154,6
39,28,154,2
39,27,155,6
40,27,155,2
40,26,156,2
40,25,157,2
40,24,158,2
40,23,159,1
39,24,159,1
38,25,159,1
37,26,159,6
38,26,159,6
39,26,159,2
39,25,160,1
38,26,160,1
37,27,160,2
37,26,161,6
38,26,161,1
37,27,161,2
37,26,162,2
37,25,163,2
37,24,164,1
36,25,164,1
35,26,164,2
35,25,165,2
35,24,166,6
36,24,166,6
37,24,166,2
37,23,167,1
36,24,167,2
36,23,168,2
36,22,169,2
36,21,170,2
36,20,171,2
36,19,172,2
36,18,173,2
36,17,174,2
36,16,175,2
36,15,176,2
36,14,177,1
35,15,177,2
35,14,178,6
36,14,178,2
36,13,179,6
37,13,179,1
36,14,179,6
37,14,179,1
36,15,179,1
35,16,179,6
36,16,179,2
36,15,180,2
36,14,181,6
37,14,181,1
36,15,181,6
37,15,181,6
38,15,181,1
37,16,181,2
37,15,182,2
37,14,183,6
38,14,183,2
38,13,184,1
37,14,184,2
37,13,185,6
38,13,185,2
38,12,186,6
39,12,186,1
38,13,186,6
39,13,186,6
40,13,186,6
41,13,186,1
40,14,186,1
39,15,186,1
38,16,186,1
37,17,186,2
37,16,187,2
37,15,188,6
38,15,188,2
38,14,189,2
38,13,190,6
39,13,190,6
40,13,190,6
41,13,190,1
40,14,190,1
39,15,190,1
38,16,190,1
37,17,190,2
37,16,191,2
37,15,192,2
37,14,193,2
37,13,194,6
38,13,194,6
39,13,194,1
38,14,194,6
39,14,194,6
40,14,194,2
40,13,195,6
41,13,195,6
42,13,195,1
41,14,195,5
41,14,194,2
41,13,195,2
41,12,196,6
42,12,196,6
43,12,196,1
42,13,196,1
41,14,196,1
40,15,196,6
41,15,196,6
42,15,196,1
41,16,196,2
41,15,197,6
42,15,197,1
41,16,197,1
40,17,197,6
41,17,197,2
41,16,198,2
41,15,199,2
41,14,200,2
41,13,201,6
42,13,201,6
43,13,201,2
43,12,202,1
42,13,202,2
42,12,203,2
42,11,204,6
43,11,204,6
44,11,204,6
45,11,204,1
44,12,204,2
44,11,205,2
44,10,206,6
45,10,206,6
46,10,206,6
47,10,206,6
48,10,206,2
48,9,207,6
49,9,207,5
49,9,206,6
50,9,206,1
49,10,206,2
49,9,207,6
50,9,207,2
50,8,208,2
50,7,209,6
51,7,209,1
50,8,209,6
51,8,209,2
51,7,210,6
52,7,210,1
51,8,210,6
52,8,210,5
52,8,209,1
51,9,209,6
52,9,209,6
53,9,209,6
54,9,209,6
55,9,209,6
56,9,209,6
57,9,209,1
56,10,209,1
55,11,209,6
56,11,209,1
55,12,209,2
55,11,210,6
56,11,210,1
55,12,210,6
56,12,210,1
55,13,210,2
55,12,211,2
55,11,212,2
55,10,213,6
56,10,213,6
57,10,213,1
56,11,213,1
55,12,213,5
55,12,212,6
56,12,212,6
57,12,212,2
57,11,213,6
58,11,213,1
57,12,213,2
57,11,214,1
56,12,214,6
57,12,214,2
57,11,215,6
58,11,215,2
58,10,216,2
58,9,217,1
57,10,217,1
56,11,217,1
55,12,217,2
55,11,218,2
55,10,219,6
56,10,219,1
55,11,219,6
56,11,219,1
55,12,219,1
54,13,219,1
53,14,219,2
53,13,220,6
54,13,220,6
55,13,220,2
55,12,221,1
54,13,221,1
53,14,221,6
54,14,221,2
54,13,222,2
54,12,223,1
53,13,223,1
52,14,223,2
52,13,224,6
53,13,224,6
54,13,224,2
54,12,225,6
55,12,225,2
55,11,226,2
55,10,227,6
56,10,227,1
55,11,227,6
56,11,227,2
56,10,228,6
57,10,228,6
58,10,228,2
58,9,229,1
57,10,229,6
58,10,229,6
59,10,229,6
60,10,229,2
60,9,230,2
60,8,231,6
61,8,231,1
60,9,231,1
59,10,231,2
59,9,232,6
60,9,232,6
61,9,232,2
61,8,233,6
62,8,233,2
62,7,234,6
63,7,234,6
64,7,234,6
65,7,234,1
64,8,234,5
64,8,233,1
63,9,233,6
64,9,233,2
64,8,234,6
65,8,234,6
66,8,234,2
66,7,235,2
66,6,236,6
67,6,236,6
68,6,236,6
69,6,236,2
69,5,237,6
70,5,237,6
71,5,237,6
72,5,237,1
71,6,237,6
72,6,237,6
73,6,237,6
74,6,237,2
74,5,238,1
73,6,238,6
74,6,238,6
75,6,238,6
76,6,238,5
76,6,237,2
76,5,238,6
77,5,238,6
78,5,238,2
78,4,239,6
79,4,239,6
80,4,239,2
80,3,240,1
79,4,240,1
78,5,240,2
78,4,241,1
77,5,241,6
78,5,241,6
79,5,241,1
78,6,241,6
79,6,241,6
80,6,241,6
81,6,241,6
82,6,241,2
82,5,242,6
83,5,242,1
82,6,242,1
81,7,242,1
80,8,242,2
80,7,243,6
81,7,243,6
82,7,243,6
83,7,243,1
82,8,243,1
81,9,243,6
82,9,243,6
83,9,243,6
84,9,243,1
83,10,243,2
83,9,244,6
84,9,244,2
84,8,245,6
85,8,245,2
85,7,246,6
86,7,246,6
87,7,246,2
87,6,247,1
86,7,247,6
87,7,247,6
88,7,247,6
89,7,247,6
90,7,247,2
90,6,248,6
91,6,248,6
92,6,248,6
93,6,248,6
94,6,248,2
94,5,249,6
95,5,249,1
94,6,249,1
93,7,249,6
94,7,249,1
93,8,249,6
94,8,249,6
95,8,249,6
96,8,249,1
95,9,249,2
95,8,250,6
96,8,250,1
95,9,250,6
96,9,250,6
97,9,250,6
98,9,250,1
97,10,250,2
97,9,251,6
98,9,251,6
99,9,251,6
100,9,251,1
99,10,251,1
98,11,251,6
99,11,251,2
99,10,252,1
98,11,252,6
99,11,252,1
98,12,252,2
98,11,253,2
98,10,254,2
98,9,255,6
99,9,255,2
99,8,256,1
98,9,256,1
97,10,256,1
96,11,256,1
95,12,256,2
95,11,257,1
94,12,257,6
95,12,257,6
96,12,257,1
95,13,257,6
96,13,257,2
96,12,258,1
95,13,258,1
94,14,258,1
93,15,258,6
94,15,258,6
95,15,258,1
94,16,258,1
93,17,258,6
94,17,258,1
93,18,258,6
94,18,258,1
93,19,258,2
93,18,259,1
92,19,259,6
93,19,259,1
92,20,259,2
92,19,260,1
91,20,260,1
90,21,260,1
89,22,260,6
90,22,260,6
91,22,260,5
91,22,259,1
90,23,259,2
90,22,260,1
89,23,260,1
88,24,260,6
89,24,260,2
89,23,261,6
90,23,261,6
91,23,261,2
91,22,262,1
90,23,262,1
89,24,262,1
88,25,262,1
87,26,262,1
86,27,262,1
85,28,262,5
85,28,261,2
85,27,262,1
84,28,262,2
84,27,263,2
84,26,264,1
83,27,264,1
82,28,264,4
82,27,264,1
81,28,264,2
81,27,265,6
82,27,265,2
82,26,266,2
82,25,267,6
83,25,267,2
83,24,268,6
84,24,268,1
83,25,268,1
82,26,268,6
83,26,268,2
83,25,269,1
82,26,269,6
83,26,269,1
82,27,269,1
81,28,269,1
80,29,269,2
80,28,270,1
79,29,270,1
78,30,270,1
77,31,270,2
77,30,271,6
78,30,271,2
78,29,272,2
78,28,273,6
79,28,273,2
79,27,274,6
80,27,274,6
81,27,274,1
80,28,274,6
81,28,274,6
82,28,274,2
82,27,275,1
81,28,275,2
81,27,276,1
80,28,276,2
80,27,277,6
81,27,277,1
80,28,277,1
79,29,277,6
80,29,277,6
81,29,277,6
82,29,277,2
82,28,278,6
83,28,278,2
83,27,279,2
83,26,280,6
84,26,280,1
83,27,280,6
84,27,280,1
83,28,280,1
82,29,280,2
82,28,281,1
81,29,281,1
80,30,281,1
79,31,281,1
78,32,281,1
77,33,281,1
76,34,281,1
75,35,281,2
75,34,282,2
75,33,283,2
75,32,284,1
74,33,284,6
75,33,284,1
74,34,284,2
74,33,285,1
73,34,285,1
72,35,285,2
72,34,286,2
72,33,287,2
72,32,288,1
71,33,288,2
71,32,289,2
71,31,290,1
70,32,290,2
70,31,291,6
71,31,291,2
71,30,292,2
71,29,293,5
71,29,292,3
70,29,292,2
70,28,293,2
70,27,294,2
70,26,295,2
70,25,296,1
69,26,296,2
69,25,297,1
68,26,297,2
68,25,298,5
68,25,297,1
67,26,297,2
67,25,298,6
68,25,298,2
68,24,299,2
68,23,300,6
69,23,300,6
70,23,300,1
69,24,300,1
68,25,300,1
67,26,300,1
66,27,300,1
65,28,300,1
64,29,300,6
65,29,300,2
65,28,301,1
64,29,301,2
64,28,302,2
64,27,303,2
64,26,304,2
64,25,305,6
65,25,305,1
64,26,305,1
63,27,305,6
64,27,305,1
63,28,305,1
62,29,305,6
63,29,305,1
62,30,305,1
61,31,305,1
60,32,305,1
59,33,305,1
58,34,305,2
58,33,306,6
59,33,306,2
59,32,307,6
60,32,307,2
60,31,308,1
59,32,308,6
60,32,308,2
60,31,309,1
59,32,309,2
59,31,310,2
59,30,311,6
60,30,311,1
59,31,311,6
60,31,311,1
59,32,311,2
59,31,312,1
58,32,312,1
57,33,312,1
56,34,312,2
56,33,313,1
55,34,313,6
56,34,313,2
56,33,314,1
55,34,314,1
54,35,314,1
53,36,314,2
53,35,315,6
54,35,315,1
53,36,315,2
53,35,316,1
52,36,316,1
51,37,316,2
51,36,317,1
50,37,317,6
51,37,317,2
51,36,318,1
50,37,318,1
49,38,318,1
48,39,318,1
47,40,318,2
47,39,319,2
47,38,320,1
46,39,320,1
45,40,320,6
46,40,320,6
47,40,320,1
46,41,320,1
45,42,320,2
45,41,321,2
45,40,322,2
45,39,323,2
45,38,324,1
44,39,324,2
44,38,325,1
43,39,325,1
42,40,325,6
43,40,325,6
44,40,325,2
44,39,326,1
43,40,326,2
43,39,327,6
44,39,327,2
44,38,328,2
44,37,329,6
45,37,329,1
44,38,329,6
45,38,329,1
44,39,329,2
44,38,330,2
44,37,331,1
43,38,331,2
43,37,332,2
43,36,333,2
43,35,334,6
44,35,334,2
44,34,335,1
43,35,335,6
44,35,335,1
43,36,335,2
43,35,336,2
43,34,337,1
42,35,337,2
42,34,338,2
42,33,339,6
43,33,339,1
42,34,339,6
43,34,339,2
43,33,340,2
43,32,341,2
43,31,342,1
42,32,342,1
41,33,342,2
41,32,343,1
40,33,343,2
40,32,344,1
39,33,344,2
39,32,345,2
39,31,346,1
38,32,346,6
39,32,346,2
39,31,347,2
39,30,348,1
38,31,348,2
38,30,349,2
38,29,350,2
38,28,351,1
37,29,351,1
36,30,351,1
35,31,351,1
34,32,351,2
34,31,352,2
100,1,0,1
99,2,0,6
100,2,0,6
101,2,0,6
102,2,0,6
103,2,0,6
104,2,0,6
105,2,0,6
106,2,0,6
107,2,0,6
108,2,0,6
109,2,0,6
110,2,0,2
110,1,1,6
111,1,1,6
112,1,1,6
113,1,1,6
114,1,1,6
115,1,1,6
116,1,1,6
117,1,1,6
118,1,1,6
119,1,1,6
120,1,1,3
119,1,1,6
120,1,1,6
121,1,1,6
122,1,1,6
123,1,1,1
122,2,1,6
123,2,1,1
122,3,1,6
123,3,1,6
124,3,1,2
124,2,2,6
125,2,2,6
126,2,2,6
127,2,2,6
128,2,2,6
129,2,2,6
130,2,2,2
130,1,3,6
131,1,3,6
132,1,3,3
131,1,3,6
132,1,3,6
133,1,3,1
132,2,3,6
133,2,3,6
134,2,3,1
133,3,3,6
134,3,3,6
135,3,3,1
134,4,3,1
133,5,3,1
132,6,3,6
133,6,3,6
134,6,3,1
133,7,3,2
133,6,4,6
134,6,4,6
135,6,4,1
134,7,4,6
135,7,4,6
136,7,4,2
136,6,5,2
136,5,6,6
137,5,6,1
136,6,6,1
135,7,6,1
134,8,6,1
133,9,6,3
132,9,6,1
131,10,6,2
131,9,7,6
132,9,7,1
131,10,7,2
131,9,8,2
131,8,9,6
132,8,9,6
133,8,9,6
134,8,9,1
133,9,9,1
132,10,9,6
133,10,9,1
132,11,9,1
131,12,9,1
130,13,9,6
131,13,9,3
130,13,9,1
129,14,9,1
128,15,9,1
127,16,9,1
126,17,9,1
125,18,9,6
126,18,9,1
125,19,9,1
124,20,9,1
123,21,9,6
124,21,9,1
123,22,9,1
122,23,9,2
122,22,10,1
121,23,10,2
121,22,11,6
122,22,11,1
121,23,11,1
120,24,11,1
119,25,11,2
119,24,12,2
119,23,13,1
118,24,13,1
117,25,13,1
116,26,13,1
115,27,13,6
116,27,13,1
115,28,13,1
114,29,13,1
113,30,13,6
114,30,13,1
113,31,13,2
113,30,14,1
112,31,14,2
112,30,15,1
111,31,15,1
110,32,15,1
109,33,15,1
108,34,15,1
107,35,15,2
107,34,16,1
106,35,16,1
105,36,16,2
105,35,17,1
104,36,17,1
103,37,17,2
103,36,18,1
102,37,18,2
102,36,19,2
102,35,20,6
103,35,20,1
102,36,20,1
101,37,20,2
101,36,21,1
100,37,21,1
99,38,21,1
98,39,21,1
97,40,21,1
96,41,21,1
95,42,21,1
94,43,21,2
94,42,22,1
93,43,22,1
92,44,22,1
91,45,22,1
90,46,22,2
90,45,23,1
89,46,23,2
89,45,24,1
88,46,24,1
87,47,24,1
86,48,24,1
85,49,24,1
84,50,24,6
85,50,24,2
85,49,25,1
84,50,25,6
85,50,25,1
84,51,25,2
84,50,26,2
84,49,27,1
83,50,27,2
83,49,28,1
82,50,28,1
81,51,28,1
80,52,28,2
80,51,29,2
80,50,30,1
79,51,30,1
78,52,30,2
78,51,31,1
77,52,31,1
76,53,31,1
75,54,31,1
74,55,31,1
73,56,31,2
73,55,32,2
73,54,33,6
74,54,33,1
73,55,33,2
73,54,34,1
72,55,34,2
72,54,35,1
71,55,35,2
71,54,36,6
72,54,36,1
71,55,36,1
70,56,36,2
70,55,37,1
69,56,37,1
68,57,37,2
68,56,38,2
68,55,39,2
68,54,40,1
67,55,40,1
66,56,40,1
65,57,40,1
64,58,40,1
63,59,40,2
63,58,41,2
63,57,42,2
63,56,43,2
63,55,44,1
62,56,44,2
62,55,45,6
63,55,45,2
63,54,46,1
62,55,46,1
61,56,46,1
60,57,46,1
59,58,46,2
59,57,47,6
60,57,47,2
60,56,48,2
60,55,49,6
61,55,49,2
61,54,50,6
62,54,50,1
61,55,50,2
61,54,51,2
61,53,52,6
62,53,52,1
61,54,52,6
62,54,52,1
61,55,52,1
60,56,52,2
60,55,53,6
61,55,53,2
61,54,54,6
62,54,54,2
62,53,55,1
61,54,55,2
61,53,56,2
61,52,57,2
61,51,58,2
61,50,59,2
61,49,60,1
60,50,60,2
60,49,61,2
60,48,62,1
59,49,62,6
60,49,62,1
59,50,62,2
59,49,63,2
59,48,64,2
59,47,65,2
59,46,66,1
58,47,66,1
57,48,66,1
56,49,66,2
56,48,67,1
55,49,67,2
55,48,68,2
55,47,69,1
54,48,69,2
54,47,70,2
54,46,71,1
53,47,71,1
52,48,71,2
52,47,72,2
52,46,73,1
51,47,73,2
51,46,74,6
52,46,74,6
53,46,74,2
53,45,75,1
52,46,75,2
52,45,76,2
52,44,77,1
51,45,77,2
51,44,78,1
50,45,78,1
49,46,78,1
48,47,78,1
47,48,78,6
48,48,78,1
47,49,78,1
46,50,78,2
46,49,79,2
46,48,80,2
46,47,81,2
46,46,82,2
46,45,83,6
47,45,83,2
47,44,84,2
47,43,85,2
47,42,86,1
46,43,86,1
45,44,86,6
46,44,86,2
46,43,87,1
45,44,87,6
46,44,87,2
46,43,88,1
45,44,88,2
45,43,89,2
45,42,90,2
45,41,91,1
44,42,91,2
44,41,92,6
45,41,92,1
44,42,92,6
45,42,92,2
45,41,93,6
46,41,93,2
46,40,94,2
46,39,95,1
45,40,95,1
44,41,95,2
44,40,96,6
45,40,96,1
44,41,96,2
44,40,97,1
43,41,97,2
43,40,98,6
44,40,98,4
44,39,98,2
44,38,99,2
44,37,100,1
43,38,100,2
43,37,101,2
43,36,102,6
44,36,102,1
43,37,102,2
43,36,103,1
42,37,103,1
41,38,103,1
40,39,103,2
40,38,104,1
39,39,104,1
38,40,104,1
37,41,104,1
36,42,104,1
35,43,104,1
34,44,104,2
34,43,105,1
33,44,105,2
33,43,106,6
34,43,106,6
35,43,106,2
35,42,107,6
36,42,107,1
35,43,107,2
35,42,108,2
35,41,109,6
36,41,109,2
36,40,110,4
36,39,110,2
36,38,111,2
36,37,112,1
35,38,112,2
35,37,113,1
34,38,113,2
34,37,114,2
34,36,115,1
33,37,115,2
33,36,116,1
32,37,116,6
33,37,116,1
32,38,116,2
32,37,117,2
32,36,118,2
32,35,119,2
32,34,120,2
32,33,121,6
33,33,121,2
33,32,122,1
32,33,122,2
32,32,123,6
33,32,123,2
33,31,124,1
32,32,124,2
32,31,125,6
33,31,125,2
33,30,126,6
34,30,126,6
35,30,126,2
35,29,127,1
34,30,127,6
35,30,127,2
35,29,128,2
35,28,129,1
34,29,129,2
34,28,130,2
34,27,131,2
34,26,132,2
34,25,133,1
33,26,133,1
32,27,133,2
32,26,134,2
32,25,135,1
31,26,135,6
32,26,135,2
32,25,136,2
32,24,137,1
31,25,137,1
30,26,137,2
30,25,138,2
30,24,139,2
30,23,140,2
30,22,141,6
31,22,141,6
32,22,141,2
32,21,142,1
31,22,142,2
31,21,143,6
32,21,143,2
32,20,144,2
32,19,145,2
32,18,146,2
32,17,147,1
31,18,147,6
32,18,147,2
32,17,148,2
32,16,149,1
31,17,149,2
31,16,150,2
31,15,151,1
30,16,151,6
31,16,151,2
31,15,152,6
32,15,152,2
32,14,153,6
33,14,153,6
34,14,153,2
34,13,154,1
33,14,154,6
34,14,154,6
35,14,154,6
36,14,154,2
36,13,155,2
36,12,156,6
37,12,156,1
36,13,156,2
36,12,157,2
36,11,158,6
37,11,158,6
38,11,158,6
39,11,158,6
40,11,158,6
41,11,158,1
40,12,158,6
41,12,158,2
41,11,159,6
42,11,159,3
41,11,159,1
40,12,159,2
40,11,160,1
39,12,160,6
40,12,160,6
41,12,160,6
42,12,160,6
43,12,160,1
42,13,160,6
43,13,160,2
43,12,161,6
44,12,161,6
45,12,161,2
45,11,162,6
46,11,162,2
46,10,163,6
47,10,163,6
48,10,163,1
47,11,163,2
47,10,164,1
46,11,164,1
45,12,164,6
46,12,164,1
45,13,164,3
44,13,164,2
44,12,165,6
45,12,165,1
44,13,165,6
45,13,165,6
46,13,165,2
46,12,166,2
46,11,167,2
46,10,168,2
46,9,169,6
47,9,169,2
47,8,170,6
48,8,170,1
47,9,170,2
47,8,171,1
46,9,171,2
46,8,172,6
47,8,172,1
46,9,172,2
46,8,173,2
46,7,174,2
46,6,175,6
47,6,175,6
48,6,175,2
48,5,176,6
49,5,176,1
48,6,176,6
49,6,176,6
50,6,176,6
51,6,176,6
52,6,176,6
53,6,176,6
54,6,176,6
55,6,176,6
56,6,176,6
57,6,176,2
57,5,177,6
58,5,177,6
59,5,177,5
59,5,176,6
60,5,176,1
59,6,176,6
60,6,176,1
59,7,176,2
59,6,177,1
58,7,177,2
58,6,178,1
57,7,178,6
58,7,178,2
58,6,179,6
59,6,179,6
60,6,179,5
60,6,178,1
59,7,178,1
58,8,178,6
59,8,178,1
58,9,178,1
57,10,178,2
57,9,179,2
57,8,180,6
58,8,180,2
58,7,181,1
57,8,181,6
58,8,181,1
57,9,181,1
56,10,181,2
56,9,182,1
55,10,182,2
55,9,183,3
54,9,183,6
55,9,183,1
54,10,183,1
53,11,183,1
52,12,183,2
52,11,184,1
51,12,184,6
52,12,184,6
53,12,184,6
54,12,184,2
54,11,185,1
53,12,185,1
52,13,185,2
52,12,186,6
53,12,186,1
52,13,186,2
52,12,187,1
51,13,187,1
50,14,187,2
50,13,188,1
49,14,188,6
50,14,188,1
49,15,188,2
49,14,189,6
50,14,189,1
49,15,189,6
50,15,189,5
50,15,188,1
49,16,188,1
48,17,188,6
49,17,188,6
50,17,188,1
49,18,188,6
50,18,188,6
