S,I,R,Reaction Type
47,23,200,1
46,24,200,6
47,24,200,2
47,23,201,2
47,22,202,1
46,23,202,6
47,23,202,1
46,24,202,6
47,24,202,6
48,24,202,6
49,24,202,1
48,25,202,6
49,25,202,1
48,26,202,2
48,25,203,2
48,24,204,2
48,23,205,6
49,23,205,2
49,22,206,2
49,21,207,1
48,22,207,2
48,21,208,2
48,20,209,2
48,19,210,2
48,18,211,6
49,18,211,5
49,18,210,2
49,17,211,2
49,16,212,2
49,15,213,2
49,14,214,6
50,14,214,1
49,15,214,2
49,14,215,1
48,15,215,1
47,16,215,2
47,15,216,1
46,16,216,2
46,15,217,6
47,15,217,6
48,15,217,6
49,15,217,2
49,14,218,6
50,14,218,2
50,13,219,6
51,13,219,6
52,13,219,2
52,12,220,2
52,11,221,6
53,11,221,5
53,11,220,6
54,11,220,1
53,12,220,2
53,11,221,2
53,10,222,6
54,10,222,5
54,10,221,1
53,11,221,6
54,11,221,1
53,12,221,2
53,11,222,1
52,12,222,1
51,13,222,2
51,12,223,1
50,13,223,2
50,12,224,2
50,11,225,6
51,11,225,2
51,10,226,6
52,10,226,1
51,11,226,1
50,12,226,2
50,11,227,2
50,10,228,3
49,10,228,6
50,10,228,1
49,11,228,2
49,10,229,1
48,11,229,1
47,12,229,6
48,12,229,6
49,12,229,2
49,11,230,2
49,10,231,6
50,10,231,1
49,11,231,6
50,11,231,6
51,11,231,6
52,11,231,6
53,11,231,1
52,12,231,6
53,12,231,6
54,12,231,1
53,13,231,6
54,13,231,6
55,13,231,6
56,13,231,6
57,13,231,1
56,14,231,6
57,14,231,6
58,14,231,2
58,13,232,2
58,12,233,6
59,12,233,6
60,12,233,6
61,12,233,1
60,13,233,1
59,14,233,1
58,15,233,1
57,16,233,2
57,15,234,1
56,16,234,2
56,15,235,1
55,16,235,6
56,16,235,6
57,16,235,1
56,17,235,1
55,18,235,2
55,17,236,1
54,18,236,1
53,19,236,2
53,18,237,2
53,17,238,2
53,16,239,1
52,17,239,6
53,17,239,6
54,17,239,1
53,18,239,6
54,18,239,1
53,19,239,1
52,20,239,2
52,19,240,1
51,20,240,1
50,21,240,1
49,22,240,2
49,21,241,1
48,22,241,2
48,21,242,6
49,21,242,1
48,22,242,2
48,21,243,6
49,21,243,2
49,20,244,2
49,19,245,6
50,19,245,6
51,19,245,1
50,20,245,2
50,19,246,2
50,18,247,2
50,17,248,6
51,17,248,1
50,18,248,1
49,19,248,2
49,18,249,6
50,18,249,2
50,17,250,1
49,18,250,2
49,17,251,1
48,18,251,1
47,19,251,2
47,18,252,2
47,17,253,1
46,18,253,1
45,19,253,6
46,19,253,6
47,19,253,2
47,18,254,1
46,19,254,6
47,19,254,6
48,19,254,1
47,20,254,6
48,20,254,1
47,21,254,1
46,22,254,1
45,23,254,1
44,24,254,1
43,25,254,2
43,24,255,2
43,23,256,2
43,22,257,2
43,21,258,6
44,21,258,1
43,22,258,6
44,22,258,2
44,21,259,1
43,22,259,2
43,21,260,2
43,20,261,1
42,21,261,6
43,21,261,2
43,20,262,1
42,21,262,1
41,22,262,6
42,22,262,2
42,21,263,6
43,21,263,6
44,21,263,2
44,20,264,1
43,21,264,1
42,22,264,2
42,21,265,5
42,21,264,2
42,20,265,6
43,20,265,6
44,20,265,6
45,20,265,5
45,20,264,1
44,21,264,6
45,21,264,2
45,20,265,6
46,20,265,2
46,19,266,6
47,19,266,2
47,18,267,1
46,19,267,2
46,18,268,1
45,19,268,2
45,18,269,2
45,17,270,2
45,16,271,1
44,17,271,6
45,17,271,1
44,18,271,1
43,19,271,2
43,18,272,2
43,17,273,2
43,16,274,1
42,17,274,2
42,16,275,1
41,17,275,1
40,18,275,6
41,18,275,2
41,17,276,2
41,16,277,2
41,15,278,6
42,15,278,3
41,15,278,2
41,14,279,4
41,13,279,2
41,12,280,6
42,12,280,1
41,13,280,6
42,13,280,6
43,13,280,1
42,14,280,1
41,15,280,2
41,14,281,1
40,15,281,2
40,14,282,2
40,13,283,6
41,13,283,2
41,12,284,6
42,12,284,6
43,12,284,6
44,12,284,5
44,12,283,6
45,12,283,2
45,11,284,1
44,12,284,2
44,11,285,2
44,10,286,2
44,9,287,1
43,10,287,5
43,10,286,1
42,11,286,1
41,12,286,6
42,12,286,6
43,12,286,1
42,13,286,2
42,12,287,1
41,13,287,2
41,12,288,1
40,13,288,2
40,12,289,6
41,12,289,6
42,12,289,6
43,12,289,6
44,12,289,1
43,13,289,2
43,12,290,6
44,12,290,6
45,12,290,2
45,11,291,2
45,10,292,1
44,11,292,1
43,12,292,1
42,13,292,6
43,13,292,3
42,13,292,1
41,14,292,1
40,15,292,6
41,15,292,2
41,14,293,1
40,15,293,2
40,14,294,6
41,14,294,2
41,13,295,1
40,14,295,6
41,14,295,2
41,13,296,6
42,13,296,6
43,13,296,2
43,12,297,6
44,12,297,1
43,13,297,6
44,13,297,2
44,12,298,2
44,11,299,6
45,11,299,2
45,10,300,6
46,10,300,1
45,11,300,1
44,12,300,2
44,11,301,1
43,12,301,2
43,11,302,1
42,12,302,2
42,11,303,1
41,12,303,6
42,12,303,6
43,12,303,1
42,13,303,6
43,13,303,6
44,13,303,6
45,13,303,6
46,13,303,6
47,13,303,6
48,13,303,2
48,12,304,6
49,12,304,2
49,11,305,6
50,11,305,1
49,12,305,1
48,13,305,6
49,13,305,2
49,12,306,1
48,13,306,2
48,12,307,3
47,12,307,6
48,12,307,1
47,13,307,2
47,12,308,2
47,11,309,1
46,12,309,5
46,12,308,2
46,11,309,6
47,11,309,1
46,12,309,6
47,12,309,6
48,12,309,1
47,13,309,2
47,12,310,1
100,1,0,1
99,2,0,6
100,2,0,6
101,2,0,2
101,1,1,6
102,1,1,6
103,1,1,1
102,2,1,6
103,2,1,6
104,2,1,1
103,3,1,6
104,3,1,6
105,3,1,1
104,4,1,2
104,3,2,1
103,4,2,1
102,5,2,6
103,5,2,6
104,5,2,1
103,6,2,6
104,6,2,6
105,6,2,1
104,7,2,6
105,7,2,1
104,8,2,6
105,8,2,2
105,7,3,1
104,8,3,6
105,8,3,2
105,7,4,6
106,7,4,1
105,8,4,1
104,9,4,1
103,10,4,2
103,9,5,1
102,10,5,1
101,11,5,1
100,12,5,1
99,13,5,1
98,14,5,1
97,15,5,2
97,14,6,1
96,15,6,1
95,16,6,1
94,17,6,1
93,18,6,2
93,17,7,2
93,16,8,6
94,16,8,1
93,17,8,1
92,18,8,2
92,17,9,6
93,17,9,6
94,17,9,1
93,18,9,6
94,18,9,1
93,19,9,2
93,18,10,6
94,18,10,2
94,17,11,1
93,18,11,1
92,19,11,1
91,20,11,6
92,20,11,2
92,19,12,1
91,20,12,2
91,19,13,1
90,20,13,1
89,21,13,3
88,21,13,1
87,22,13,1
86,23,13,1
85,24,13,6
86,24,13,1
85,25,13,6
86,25,13,1
85,26,13,1
84,27,13,1
83,28,13,2
83,27,14,1
82,28,14,1
81,29,14,1
80,30,14,2
80,29,15,1
79,30,15,6
80,30,15,1
79,31,15,1
78,32,15,1
77,33,15,1
76,34,15,6
77,34,15,2
77,33,16,1
76,34,16,6
77,34,16,6
78,34,16,2
78,33,17,2
78,32,18,1
77,33,18,1
76,34,18,1
75,35,18,6
76,35,18,2
76,34,19,1
75,35,19,6
76,35,19,1
75,36,19,1
74,37,19,2
74,36,20,6
75,36,20,1
74,37,20,2
74,36,21,2
74,35,22,6
75,35,22,2
75,34,23,1
74,35,23,2
74,34,24,2
74,33,25,2
74,32,26,1
73,33,26,2
73,32,27,1
72,33,27,1
71,34,27,2
71,33,28,1
70,34,28,1
69,35,28,1
68,36,28,6
69,36,28,2
69,35,29,2
69,34,30,2
69,33,31,1
68,34,31,1
67,35,31,1
66,36,31,1
65,37,31,6
66,37,31,1
65,38,31,2
65,37,32,1
64,38,32,1
63,39,32,1
62,40,32,1
61,41,32,1
60,42,32,1
59,43,32,2
59,42,33,2
59,41,34,1
58,42,34,1
57,43,34,2
57,42,35,2
57,41,36,2
57,40,37,2
57,39,38,1
56,40,38,1
55,41,38,1
54,42,38,1
53,43,38,1
52,44,38,1
51,45,38,2
51,44,39,6
52,44,39,2
52,43,40,2
52,42,41,2
52,41,42,2
52,40,43,6
53,40,43,2
53,39,44,2
53,38,45,6
54,38,45,1
53,39,45,1
52,40,45,2
52,39,46,6
53,39,46,1
52,40,46,2
52,39,47,2
52,38,48,2
52,37,49,2
52,36,50,1
51,37,50,6
52,37,50,1
51,38,50,2
51,37,51,2
51,36,52,6
52,36,52,1
51,37,52,6
52,37,52,2
52,36,53,1
51,37,53,2
51,36,54,2
51,35,55,1
50,36,55,1
49,37,55,2
49,36,56,1
48,37,56,6
49,37,56,1
48,38,56,6
49,38,56,1
48,39,56,1
47,40,56,1
46,41,56,1
45,42,56,6
46,42,56,6
47,42,56,2
47,41,57,2
47,40,58,6
48,40,58,1
47,41,58,2
47,40,59,2
47,39,60,2
47,38,61,1
46,39,61,2
46,38,62,2
46,37,63,1
45,38,63,2
45,37,64,6
46,37,64,6
47,37,64,1
46,38,64,1
45,39,64,2
45,38,65,2
45,37,66,2
45,36,67,2
45,35,68,1
44,36,68,2
44,35,69,1
43,36,69,6
44,36,69,1
43,37,69,1
42,38,69,1
41,39,69,2
41,38,70,1
40,39,70,1
39,40,70,6
40,40,70,1
39,41,70,1
38,42,70,2
38,41,71,1
37,42,71,1
36,43,71,2
36,42,72,6
37,42,72,2
37,41,73,1
36,42,73,2
36,41,74,2
36,40,75,2
36,39,76,1
35,40,76,2
35,39,77,2
35,38,78,1
34,39,78,2
34,38,79,2
34,37,80,6
35,37,80,2
35,36,81,2
35,35,82,6
36,35,82,1
35,36,82,2
35,35,83,6
36,35,83,2
36,34,84,1
35,35,84,2
35,34,85,1
34,35,85,1
33,36,85,2
33,35,86,1
32,36,86,6
33,36,86,2
33,35,87,1
32,36,87,2
32,35,88,2
32,34,89,2
32,33,90,2
32,32,91,2
32,31,92,1
31,32,92,2
31,31,93,1
30,32,93,2
30,31,94,2
30,30,95,2
30,29,96,2
30,28,97,1
29,29,97,2
29,28,98,2
29,27,99,1
28,28,99,2
28,27,100,2
28,26,101,2
28,25,102,1
27,26,102,6
28,26,102,1
27,27,102,1
26,28,102,2
26,27,103,2
26,26,104,6
27,26,104,2
27,25,105,6
28,25,105,6
29,25,105,2
29,24,106,6
30,24,106,1
29,25,106,6
30,25,106,2
30,24,107,1
29,25,107,1
28,26,107,6
29,26,107,2
29,25,108,2
29,24,109,1
28,25,109,6
29,25,109,2
29,24,110,1
28,25,110,2
28,24,111,2
28,23,112,2
28,22,113,1
27,23,113,1
26,24,113,2
26,23,114,1
25,24,114,6
26,24,114,1
25,25,114,2
25,24,115,6
26,24,115,1
25,25,115,2
25,24,116,2
25,23,117,2
25,22,118,2
25,21,119,2
25,20,120,2
25,19,121,6
26,19,121,6
27,19,121,1
26,20,121,2
26,19,122,1
25,20,122,2
25,19,123,1
24,20,123,6
25,20,123,2
25,19,124,2
25,18,125,6
26,18,125,2
26,17,126,1
25,18,126,2
25,17,127,2
25,16,128,2
25,15,129,1
24,16,129,1
23,17,129,6
24,17,129,1
23,18,129,2
23,17,130,2
23,16,131,2
23,15,132,6
24,15,132,2
24,14,133,6
25,14,133,2
25,13,134,2
25,12,135,6
26,12,135,1
25,13,135,1
24,14,135,6
25,14,135,1
24,15,135,2
24,14,136,1
23,15,136,6
24,15,136,1
23,16,136,6
24,16,136,1
23,17,136,2
23,16,137,2
23,15,138,2
23,14,139,1
22,15,139,1
21,16,139,6
22,16,139,6
23,16,139,6
24,16,139,6
25,16,139,2
25,15,140,6
26,15,140,2
26,14,141,6
27,14,141,2
27,13,142,6
28,13,142,1
27,14,142,6
28,14,142,2
28,13,143,1
27,14,143,2
27,13,144,2
27,12,145,1
26,13,145,6
27,13,145,2
27,12,146,6
28,12,146,6
29,12,146,2
29,11,147,6
30,11,147,2
30,10,148,2
30,9,149,1
29,10,149,6
30,10,149,6
31,10,149,6
32,10,149,2
32,9,150,2
32,8,151,2
32,7,152,2
32,6,153,2
32,5,154,6
33,5,154,1
32,6,154,6
33,6,154,1
32,7,154,2
32,6,155,1
31,7,155,6
32,7,155,6
33,7,155,2
33,6,156,6
34,6,156,1
33,7,156,6
34,7,156,6
35,7,156,1
34,8,156,6
35,8,156,6
36,8,156,1
35,9,156,6
36,9,156,6
37,9,156,1
36,10,156,2
36,9,157,6
37,9,157,1
36,10,157,2
36,9,158,1
35,10,158,1
34,11,158,1
33,12,158,6
34,12,158,6
35,12,158,2
35,11,159,2
35,10,160,6
36,10,160,2
36,9,161,6
37,9,161,2
37,8,162,1
36,9,162,2
36,8,163,6
37,8,163,2
37,7,164,1
36,8,164,2
36,7,165,6
37,7,165,2
37,6,166,2
37,5,167,6
38,5,167,6
39,5,167,2
39,4,168,1
38,5,168,2
38,4,169,6
39,4,169,2
39,3,170,2
39,2,171,1
38,3,171,6
39,3,171,6
40,3,171,6
41,3,171,6
42,3,171,6
43,3,171,6
44,3,171,6
45,3,171,2
45,2,172,6
46,2,172,6
47,2,172,6
48,2,172,6
49,2,172,5
49,2,171,1
48,3,171,6
49,3,171,1
48,4,171,6
49,4,171,1
48,5,171,6
49,5,171,6
50,5,171,2
50,4,172,6
51,4,172,6
52,4,172,1
51,5,172,2
51,4,173,6
52,4,173,1
51,5,173,6
52,5,173,5
52,5,172,6
53,5,172,1
52,6,172,6
53,6,172,1
52,7,172,2
52,6,173,6
53,6,173,5
53,6,172,6
54,6,172,6
55,6,172,1
54,7,172,6
55,7,172,1
54,8,172,6
55,8,172,6
56,8,172,6
57,8,172,6
58,8,172,6
59,8,172,2
59,7,173,5
59,7,172,6
60,7,172,6
61,7,172,1
60,8,172,6
61,8,172,6
62,8,172,6
63,8,172,1
62,9,172,6
63,9,172,2
63,8,173,1
62,9,173,6
63,9,173,2
63,8,174,6
64,8,174,1
63,9,174,6
64,9,174,6
65,9,174,2
65,8,175,2
65,7,176,6
66,7,176,1
65,8,176,6
66,8,176,6
67,8,176,2
67,7,177,6
68,7,177,1
67,8,177,1
66,9,177,2
66,8,178,6
67,8,178,1
66,9,178,2
66,8,179,6
67,8,179,6
68,8,179,1
67,9,179,6
68,9,179,5
68,9,178,6
69,9,178,6
70,9,178,1
69,10,178,6
70,10,178,6
71,10,178,2
71,9,179,1
70,10,179,1
69,11,179,1
68,12,179,6
69,12,179,2
69,11,180,5
69,11,179,1
68,12,179,6
69,12,179,6
70,12,179,6
71,12,179,1
70,13,179,6
71,13,179,6
72,13,179,1
71,14,179,6
72,14,179,1
71,15,179,6
72,15,179,2
72,14,180,2
72,13,181,2
72,12,182,1
71,13,182,1
70,14,182,6
71,14,182,1
70,15,182,2
70,14,183,1
69,15,183,2
69,14,184,2
69,13,185,6
70,13,185,1
69,14,185,6
70,14,185,6
71,14,185,1
70,15,185,2
70,14,186,1
69,15,186,1
68,16,186,1
67,17,186,2
67,16,187,6
68,16,187,1
67,17,187,2
67,16,188,2
67,15,189,1
66,16,189,6
67,16,189,6
68,16,189,1
67,17,189,1
66,18,189,1
65,19,189,2
65,18,190,6
66,18,190,5
66,18,189,2
66,17,190,6
67,17,190,1
66,18,190,2
66,17,191,1
65,18,191,2
65,17,192,2
65,16,193,1
64,17,193,2
64,16,194,6
65,16,194,2
65,15,195,1
64,16,195,1
63,17,195,1
62,18,195,1
61,19,195,2
61,18,196,1
60,19,196,2
60,18,197,2
60,17,198,2
60,16,199,6
61,16,199,1
60,17,199,6
61,17,199,1
60,18,199,6
61,18,199,6
62,18,199,1
61,19,199,6
62,19,199,1
61,20,199,6
62,20,199,1
61,21,199,6
62,21,199,6
63,21,199,1
62,22,199,2
62,21,200,1
61,22,200,1
60,23,200,1
59,24,200,2
59,23,201,1
58,24,201,2
58,23,202,1
57,24,202,2
57,23,203,6
58,23,203,2
58,22,204,1
57,23,204,2
57,22,205,6
58,22,205,1
57,23,205,2
57,22,206,1
56,23,206,2
56,22,207,2
56,21,208,6
57,21,208,2
57,20,209,2
57,19,210,1
56,20,210,5
56,20,209,1
55,21,209,2
55,20,210,2
55,19,211,2
55,18,212,6
56,18,212,6
57,18,212,2
57,17,213,6
58,17,213,2
58,16,214,2
58,15,215,1
57,16,215,2
57,15,216,6
58,15,216,1
57,16,216,6
58,16,216,2
58,15,217,2
58,14,218,6
59,14,218,2
59,13,219,6
60,13,219,2
60,12,220,6
61,12,220,2
61,11,221,1
60,12,221,5
60,12,220,1
59,13,220,6
60,13,220,6
61,13,220,6
62,13,220,1
61,14,220,1
60,15,220,2
60,14,221,2
60,13,222,6
61,13,222,2
61,12,223,6
62,12,223,6
63,12,223,5
63,12,222,1
62,13,222,2
62,12,223,1
61,13,223,1
60,14,223,1
59,15,223,6
60,15,223,6
61,15,223,6
62,15,223,2
62,14,224,1
61,15,224,2
61,14,225,2
61,13,226,1
60,14,226,1
59,15,226,1
58,16,226,6
59,16,226,6
60,16,226,1
59,17,226,5
59,17,225,2
59,16,226,1
58,17,226,1
57,18,226,1
56,19,226,1
55,20,226,6
56,20,226,1
55,21,226,1
54,22,226,1
53,23,226,1
52,24,226,1
51,25,226,6
52,25,226,1
51,26,226,1
50,27,226,2
50,26,227,2
50,25,228,1
49,26,228,2
49,25,229,1
48,26,229,2
48,25,230,6
49,25,230,2
49,24,231,2
49,23,232,2
49,22,233,1
48,23,233,1
47,24,233,6
48,24,233,1
47,25,233,2
47,24,234,1
46,25,234,1
45,26,234,6
46,26,234,1
45,27,234,2
45,26,235,2
45,25,236,1
44,26,236,2
44,25,237,1
43,26,237,1
42,27,237,5
42,27,236,1
41,28,236,1
40,29,236,2
40,28,237,2
40,27,238,6
41,27,238,1
40,28,238,2
40,27,239,2
40,26,240,2
40,25,241,2
40,24,242,6
41,24,242,2
41,23,243,2
41,22,244,5
41,22,243,1
40,23,243,1
39,24,243,6
40,24,243,1
39,25,243,2
39,24,244,1
38,25,244,1
37,26,244,2
37,25,245,2
37,24,246,2
37,23,247,2
37,22,248,2
37,21,249,6
38,21,249,1
37,22,249,1
36,23,249,2
36,22,250,2
36,21,251,2
36,20,252,1
35,21,252,2
35,20,253,1
34,21,253,6
35,21,253,2
35,20,254,2
35,19,255,6
36,19,255,1
35,20,255,1
34,21,255,1
33,22,255,6
34,22,255,2
34,21,256,6
35,21,256,6
36,21,256,6
37,21,256,5
37,21,255,6
38,21,255,6
39,21,255,1
38,22,255,2
38,21,256,6
39,21,256,1
38,22,256,2
38,21,257,6
39,21,257,2
39,20,258,2
39,19,259,1
38,20,259,5
38,20,258,6
39,20,258,1
38,21,258,6
39,21,258,2
39,20,259,1
38,21,259,2
38,20,260,6
39,20,260,2
39,19,261,2
39,18,262,6
40,18,262,1
39,19,262,1
38,20,262,2
38,19,263,2
38,18,264,6
39,18,264,6
40,18,264,2
40,17,265,6
41,17,265,1
40,18,265,1
39,19,265,2
39,18,266,1
38,19,266,2
38,18,267,2
38,17,268,2
38,16,269,1
37,17,269,2
37,16,270,2
37,15,271,6
38,15,271,5
38,15,270,6
39,15,270,6
40,15,270,6
41,15,270,2
41,14,271,1
40,15,271,6
41,15,271,1
40,16,271,1
39,17,271,1
38,18,271,2
38,17,272,6
39,17,272,1
38,18,272,2
38,17,273,6
39,17,273,2
39,16,274,1
38,17,274,2
38,16,275,1
37,17,275,2
37,16,276,6
38,16,276,1
37,17,276,2
37,16,277,6
38,16,277,2
38,15,278,1
37,16,278,6
38,16,278,1
37,17,278,1
36,18,278,1
35,19,278,6
36,19,278,2
36,18,279,2
36,17,280,2
36,16,281,6
37,16,281,6
38,16,281,2
38,15,282,2
38,14,283,2
38,13,284,6
39,13,284,1
38,14,284,6
39,14,284,1
38,15,284,1
37,16,284,1
36,17,284,2
36,16,285,2
36,15,286,2
36,14,287,6
37,14,287,2
37,13,288,6
38,13,288,1
37,14,288,6
38,14,288,2
38,13,289,6
39,13,289,6
40,13,289,1
39,14,289,1
38,15,289,1
37,16,289,6
38,16,289,2
38,15,290,1
37,16,290,2
37,15,291,2
37,14,292,6
38,14,292,1
37,15,292,2
37,14,293,2
37,13,294,5
37,13,293,6
38,13,293,1
37,14,293,1
36,15,293,6
37,15,293,2
37,14,294,6
38,14,294,6
39,14,294,6
40,14,294,6
41,14,294,6
42,14,294,1
41,15,294,6
42,15,294,6
43,15,294,6
44,15,294,2
44,14,295,1
43,15,295,1
42,16,295,6
43,16,295,1
42,17,295,1
41,18,295,1
40,19,295,6
41,19,295,1
40,20,295,2
40,19,296,2
40,18,297,6
41,18,297,1
40,19,297,6
41,19,297,2
41,18,298,2
41,17,299,1
40,18,299,2
40,17,300,2
40,16,301,6
41,16,301,2
41,15,302,6
42,15,302,2
42,14,303,1
100,1,0,6
101,1,0,6
102,1,0,6
103,1,0,1
102,2,0,3
101,2,0,6
102,2,0,6
103,2,0,6
104,2,0,3
103,2,0,6
104,2,0,6
105,2,0,6
106,2,0,6
107,2,0,1
106,3,0,6
107,3,0,6
108,3,0,6
109,3,0,6
110,3,0,1
109,4,0,6
110,4,0,6
111,4,0,6
112,4,0,6
113,4,0,1
112,5,0,1
111,6,0,1
110,7,0,6
111,7,0,6
112,7,0,1
111,8,0,2
111,7,1,6
112,7,1,6
113,7,1,6
114,7,1,2
114,6,2,6
115,6,2,6
116,6,2,6
117,6,2,6
118,6,2,6
119,6,2,6
120,6,2,2
120,5,3,6
121,5,3,6
122,5,3,6
123,5,3,6
124,5,3,1
123,6,3,3
122,6,3,6
123,6,3,2
123,5,4,1
122,6,4,1
121,7,4,1
120,8,4,6
121,8,4,1
120,9,4,6
121,9,4,1
120,10,4,1
119,11,4,6
120,11,4,2
120,10,5,1
119,11,5,2
119,10,6,2
119,9,7,1
118,10,7,2
118,9,8,1
117,10,8,1
116,11,8,2
116,10,9,2
116,9,10,6
117,9,10,6
118,9,10,1
117,10,10,6
118,10,10,1
117,11,10,6
118,11,10,1
117,12,10,2
117,11,11,1
116,12,11,6
117,12,11,2
117,11,12,1
116,12,12,1
115,13,12,2
115,12,13,1
114,13,13,1
113,14,13,2
113,13,14,2
113,12,15,1
112,13,15,1
111,14,15,2
111,13,16,2
111,12,17,6
112,12,17,1
111,13,17,1
110,14,17,1
109,15,17,6
110,15,17,1
109,16,17,1
108,17,17,2
108,16,18,2
108,15,19,1
107,16,19,1
106,17,19,1
105,18,19,6
106,18,19,1
105,19,19,1
104,20,19,2
104,19,20,2
104,18,21,5
104,18,20,6
105,18,20,2
105,17,21,1
104,18,21,1
103,19,21,6
104,19,21,1
103,20,21,2
103,19,22,6
104,19,22,1
103,20,22,1
102,21,22,6
103,21,22,2
103,20,23,1
102,21,23,1
101,22,23,1
100,23,23,1
99,24,23,1
98,25,23,2
98,24,24,6
99,24,24,1
98,25,24,2
98,24,25,2
98,23,26,6
99,23,26,1
98,24,26,6
99,24,26,1
98,25,26,2
98,24,27,2
98,23,28,1
97,24,28,1
96,25,28,2
96,24,29,1
95,25,29,6
96,25,29,1
95,26,29,1
94,27,29,6
95,27,29,1
94,28,29,1
93,29,29,1
92,30,29,1
91,31,29,1
90,32,29,1
89,33,29,1
88,34,29,1
87,35,29,2
87,34,30,2
87,33,31,2
87,32,32,1
86,33,32,6
87,33,32,1
86,34,32,1
85,35,32,1
84,36,32,6
85,36,32,1
84,37,32,6
85,37,32,1
84,38,32,1
83,39,32,2
83,38,33,2
83,37,34,2
83,36,35,1
82,37,35,6
83,37,35,1
82,38,35,1
81,39,35,1
80,40,35,1
79,41,35,2
79,40,36,1
78,41,36,1
77,42,36,1
76,43,36,1
75,44,36,6
76,44,36,2
76,43,37,2
76,42,38,1
75,43,38,1
74,44,38,1
73,45,38,6
74,45,38,2
74,44,39,2
74,43,40,1
73,44,40,1
72,45,40,1
71,46,40,1
70,47,40,1
69,48,40,2
69,47,41,6
70,47,41,2
70,46,42,6
71,46,42,1
70,47,42,2
70,46,43,1
69,47,43,1
68,48,43,6
69,48,43,2
69,47,44,6
70,47,44,2
70,46,45,1
69,47,45,2
69,46,46,1
68,47,46,2
68,46,47,2
68,45,48,6
69,45,48,1
68,46,48,1
67,47,48,2
67,46,49,1
66,47,49,2
66,46,50,2
66,45,51,1
65,46,51,1
64,47,51,1
63,48,51,1
62,49,51,1
61,50,51,1
60,51,51,1
59,52,51,1
58,53,51,2
58,52,52,2
58,51,53,1
57,52,53,1
56,53,53,1
55,54,53,1
54,55,53,1
53,56,53,2
53,55,54,2
53,54,55,6
54,54,55,1
53,55,55,2
53,54,56,2
53,53,57,6
54,53,57,2
54,52,58,2
54,51,59,1
53,52,59,2
53,51,60,1
52,52,60,1
51,53,60,2
51,52,61,2
51,51,62,1
50,52,62,6
51,52,62,6
52,52,62,2
52,51,63,1
51,52,63,1
50,53,63,1
49,54,63,1
48,55,63,1
47,56,63,2
47,55,64,6
48,55,64,1
47,56,64,6
48,56,64,1
47,57,64,2
47,56,65,1
46,57,65,1
45,58,65,1
44,59,65,1
43,60,65,1
42,61,65,1
41,62,65,2
41,61,66,1
40,62,66,2
40,61,67,2
40,60,68,2
40,59,69,1
39,60,69,2
39,59,70,2
39,58,71,1
38,59,71,1
37,60,71,6
38,60,71,6
39,60,71,2
39,59,72,1
38,60,72,2
38,59,73,2
38,58,74,4
38,57,74,1
37,58,74,2
37,57,75,1
36,58,75,6
37,58,75,2
37,57,76,2
37,56,77,6
38,56,77,1
37,57,77,2
37,56,78,6
38,56,78,1
37,57,78,2
37,56,79,2
37,55,80,1
36,56,80,1
35,57,80,2
35,56,81,1
34,57,81,2
34,56,82,1
33,57,82,4
33,56,82,1
32,57,82,2
32,56,83,2
32,55,84,1
31,56,84,1
30,57,84,6
31,57,84,2
31,56,85,2
31,55,86,6
32,55,86,1
31,56,86,2
31,55,87,6
32,55,87,2
32,54,88,2
32,53,89,1
31,54,89,2
31,53,90,1
30,54,90,5
30,54,89,2
30,53,90,2
30,52,91,6
31,52,91,2
31,51,92,2
31,50,93,2
31,49,94,2
31,48,95,1
30,49,95,2
30,48,96,1
29,49,96,1
28,50,96,1
27,51,96,2
27,50,97,2
27,49,98,1
26,50,98,1
25,51,98,2
25,50,99,2
25,49,100,1
24,50,100,1
23,51,100,6
24,51,100,1
23,52,100,1
22,53,100,2
22,52,101,2
22,51,102,6
23,51,102,1
22,52,102,2
22,51,103,2
22,50,104,2
22,49,105,2
22,48,106,1
21,49,106,1
20,50,106,1
19,51,106,2
19,50,107,2
19,49,108,1
18,50,108,1
17,51,108,6
18,51,108,2
18,50,109,6
19,50,109,2
19,49,110,1
18,50,110,2
18,49,111,1
17,50,111,2
17,49,112,1
16,50,112,2
16,49,113,2
16,48,114,1
15,49,114,2
15,48,115,2
15,47,116,1
14,48,116,2
14,47,117,2
14,46,118,2
14,45,119,2
14,44,120,2
14,43,121,2
14,42,122,1
13,43,122,6
14,43,122,2
14,42,123,6
15,42,123,2
15,41,124,1
14,42,124,2
14,41,125,1
13,42,125,2
13,41,126,1
12,42,126,2
12,41,127,1
11,42,127,2
11,41,128,2
11,40,129,6
12,40,129,2
12,39,130,2
12,38,131,2
12,37,132,1
11,38,132,1
10,39,132,2
10,38,133,2
10,37,134,1
9,38,134,2
9,37,135,2
9,36,136,2
9,35,137,6
10,35,137,2
10,34,138,2
10,33,139,2
10,32,140,2
10,31,141,2
10,30,142,1
9,31,142,1
8,32,142,2
8,31,143,2
8,30,144,2
8,29,145,1
7,30,145,2
7,29,146,6
8,29,146,2
8,28,147,6
9,28,147,1
8,29,147,2
8,28,148,1
7,29,148,2
7,28,149,2
7,27,150,6
8,27,150,6
9,27,150,2
9,26,151,5
9,26,150,2
9,25,151,2
9,24,152,2
9,23,153,2
9,22,154,2
9,21,155,6
10,21,155,6
11,21,155,6
12,21,155,6
13,21,155,6
14,21,155,6
15,21,155,2
15,20,156,1
14,21,156,2
14,20,157,6
