P1,P2,R1,Reaction Type
41,44,59,1
40,44,60,7
39,44,60,2
39,43,61,10
39,44,61,3
39,45,60,8
39,44,60,2
39,43,61,4
39,43,62,1
38,43,63,3
38,44,62,2
38,43,63,8
38,42,63,3
38,43,62,3
38,44,61,8
38,43,61,6
38,43,60,1
37,43,61,6
37,43,60,7
36,43,60,1
35,43,61,10
35,44,61,8
35,43,61,9
36,43,61,3
36,44,60,2
36,43,61,10
36,44,61,9
37,44,61,4
37,44,62,9
38,44,62,5
38,43,61,6
38,43,60,3
38,44,59,3
38,45,58,8
38,44,58,2
38,43,59,7
37,43,59,2
37,42,60,1
36,42,61,6
36,42,60,2
36,41,61,9
37,41,61,6
37,41,60,3
37,42,59,8
37,41,59,8
37,40,59,7
36,40,59,6
36,40,58,6
36,40,57,2
36,39,58,2
36,38,59,10
36,39,59,8
36,38,59,3
36,39,58,10
36,40,58,4
36,40,59,4
36,40,60,6
36,40,59,8
36,39,59,4
36,39,60,5
36,38,59,3
36,39,58,1
35,39,59,10
35,40,59,6
35,40,58,7
34,40,58,6
34,40,57,9
35,40,57,7
34,40,57,9
35,40,57,9
36,40,57,3
36,41,56,6
36,41,55,6
36,41,54,2
36,40,55,6
36,40,54,4
36,40,55,7
35,40,55,5
35,39,54,4
35,39,55,7
34,39,55,7
33,39,55,3
33,40,54,3
33,41,53,1
32,41,54,3
32,42,53,4
32,42,54,7
31,42,54,2
31,41,55,3
31,42,54,5
31,41,53,2
31,40,54,4
31,40,55,5
31,39,54,4
31,39,55,9
32,39,55,6
32,39,54,7
31,39,54,8
31,38,54,4
31,38,55,6
31,38,54,6
31,38,53,3
31,39,52,1
30,39,53,4
30,39,54,7
29,39,54,6
29,39,53,8
29,38,53,9
30,38,53,9
31,38,53,5
31,37,52,10
31,38,52,3
31,39,51,2
31,38,52,3
31,39,51,4
31,39,52,3
31,40,51,10
31,41,51,8
31,40,51,3
31,41,50,1
30,41,51,1
29,41,52,7
28,41,52,3
28,42,51,2
28,41,52,9
29,41,52,9
30,41,52,1
29,41,53,10
29,42,53,9
30,42,53,3
30,43,52,4
30,43,53,4
30,43,54,3
30,44,53,2
30,43,54,3
30,44,53,8
30,43,53,4
30,43,54,4
30,43,55,3
30,44,54,9
31,44,54,9
32,44,54,7
31,44,54,10
31,45,54,3
31,46,53,2
31,45,54,6
31,45,53,4
31,45,54,9
32,45,54,10
32,46,54,3
32,47,53,3
32,48,52,8
32,47,52,8
32,46,52,6
32,46,51,10
32,47,51,7
31,47,51,9
32,47,51,9
33,47,51,6
33,47,50,7
32,47,50,9
33,47,50,7
32,47,50,6
32,47,49,4
32,47,50,2
32,46,51,8
32,45,51,7
31,45,51,7
30,45,51,2
30,44,52,7
29,44,52,10
29,45,52,5
29,44,51,6
29,44,50,5
29,43,49,10
29,44,49,10
29,45,49,3
29,46,48,6
29,46,47,5
29,45,46,5
29,44,45,8
29,43,45,2
29,42,46,4
29,42,47,6
29,42,46,8
29,41,46,9
30,41,46,7
29,41,46,7
28,41,46,10
28,42,46,4
28,42,47,3
28,43,46,7
27,43,46,6
27,43,45,1
26,43,46,1
25,43,47,5
25,42,46,2
25,41,47,6
25,41,46,3
25,42,45,8
25,41,45,9
26,41,45,4
26,41,46,8
26,40,46,1
25,40,47,9
26,40,47,1
25,40,48,9
26,40,48,5
26,39,47,2
26,38,48,6
26,38,47,3
26,39,46,10
26,40,46,3
26,41,45,5
26,40,44,4
26,40,45,5
26,39,44,2
26,38,45,1
25,38,46,4
25,38,47,1
24,38,48,4
24,38,49,4
24,38,50,3
24,39,49,5
24,38,48,6
24,38,47,6
24,38,46,1
23,38,47,6
23,38,46,7
22,38,46,10
22,39,46,6
22,39,45,2
22,38,46,9
23,38,46,7
22,38,46,9
23,38,46,1
22,38,47,9
23,38,47,6
23,38,46,9
24,38,46,9
25,38,46,4
25,38,47,8
25,37,47,1
24,37,48,4
24,37,49,10
24,38,49,2
24,37,50,6
24,37,49,6
24,37,48,8
24,36,48,9
25,36,48,8
25,35,48,2
25,34,49,1
24,34,50,3
24,35,49,10
24,36,49,2
24,35,50,6
24,35,49,4
24,35,50,4
24,35,51,3
24,36,50,4
24,36,51,7
23,36,51,5
23,35,50,9
24,35,50,2
24,34,51,10
24,35,51,4
24,35,52,7
23,35,52,8
23,34,52,6
23,34,51,2
23,33,52,6
23,33,51,7
22,33,51,3
22,34,50,6
22,34,49,2
22,33,50,10
22,34,50,6
22,34,49,8
22,33,49,3
22,34,48,2
22,33,49,6
22,33,48,2
22,32,49,3
22,33,48,5
22,32,47,6
22,32,46,6
22,32,45,7
21,32,45,1
20,32,46,4
20,32,47,10
20,33,47,4
20,33,48,7
19,33,48,8
19,32,48,4
19,32,49,9
20,32,49,8
20,31,49,10
20,32,49,3
20,33,48,6
20,33,47,8
20,32,47,2
20,31,48,4
20,31,49,6
20,31,48,10
20,32,48,7
19,32,48,10
19,33,48,3
19,34,47,10
19,35,47,6
19,35,46,9
20,35,46,6
20,35,45,4
20,35,46,4
20,35,47,9
21,35,47,8
21,34,47,3
21,35,46,6
21,35,45,8
21,34,45,4
21,34,46,2
21,33,47,9
22,33,47,1
21,33,48,8
21,32,48,6
21,32,47,5
21,31,46,6
21,31,45,10
21,32,45,4
21,32,46,4
21,32,47,2
21,31,48,9
22,31,48,7
21,31,48,9
22,31,48,4
22,31,49,8
22,30,49,4
22,30,50,4
22,30,51,9
23,30,51,8
23,29,51,5
23,28,50,3
23,29,49,10
23,30,49,2
23,29,50,7
22,29,50,3
22,30,49,6
22,30,48,4
22,30,49,9
23,30,49,6
23,30,48,4
23,30,49,7
22,30,49,9
23,30,49,10
23,31,49,4
23,31,50,6
23,31,49,9
24,31,49,3
24,32,48,8
24,31,48,9
25,31,48,6
25,31,47,7
24,31,47,4
24,31,48,1
23,31,49,9
24,31,49,7
23,31,49,10
23,32,49,6
23,32,48,9
24,32,48,3
24,33,47,7
23,33,47,6
23,33,46,3
23,34,45,3
23,35,44,8
23,34,44,3
23,35,43,2
23,34,44,9
24,34,44,10
24,35,44,4
24,35,45,7
23,35,45,6
23,35,44,7
22,35,44,3
22,36,43,3
22,37,42,10
22,38,42,6
22,38,41,4
22,38,42,4
22,38,43,10
22,39,43,4
22,39,44,4
22,39,45,4
22,39,46,4
22,39,47,6
22,39,46,5
22,38,45,4
22,38,46,2
22,37,47,2
22,36,48,4
22,36,49,4
22,36,50,6
22,36,49,2
22,35,50,7
21,35,50,4
21,35,51,1
20,35,52,7
19,35,52,3
19,36,51,4
19,36,52,4
19,36,53,6
19,36,52,2
19,35,53,8
19,34,53,2
19,33,54,3
19,34,53,9
20,34,53,6
20,34,52,10
20,35,52,6
20,35,51,9
21,35,51,6
21,35,50,9
22,35,50,4
22,35,51,4
22,35,52,3
22,36,51,6
22,36,50,3
22,37,49,4
22,37,50,9
23,37,50,1
22,37,51,5
22,36,50,2
22,35,51,2
22,34,52,9
23,34,52,3
23,35,51,1
22,35,52,6
22,35,51,6
22,35,50,6
22,35,49,10
22,36,49,8
22,35,49,6
22,35,48,4
22,35,49,9
23,35,49,8
23,34,49,4
23,34,50,6
23,34,49,2
23,33,50,10
23,34,50,6
23,34,49,2
23,33,50,3
23,34,49,2
23,33,50,6
23,33,49,1
22,33,50,9
23,33,50,2
23,32,51,1
22,32,52,5
22,31,51,3
22,32,50,6
22,32,49,3
22,33,48,5
22,32,47,6
22,32,46,7
21,32,46,3
21,33,45,10
21,34,45,10
21,35,45,7
20,35,45,4
20,35,46,4
20,35,47,4
20,35,48,4
20,35,49,9
21,35,49,3
21,36,48,9
22,36,48,10
22,37,48,9
23,37,48,8
23,36,48,6
23,36,47,10
23,37,47,5
23,36,46,6
23,36,45,1
22,36,46,3
22,37,45,6
22,37,44,6
22,37,43,5
22,36,42,4
22,36,43,5
22,35,42,6
22,35,41,6
22,35,40,3
22,36,39,9
23,36,39,10
23,37,39,7
22,37,39,9
23,37,39,10
23,38,39,9
24,38,39,2
24,37,40,1
23,37,41,7
22,37,41,7
21,37,41,7
20,37,41,7
19,37,41,4
19,37,42,3
19,38,41,9
20,38,41,9
21,38,41,2
21,37,42,4
21,37,43,6
21,37,42,10
21,38,42,6
21,38,41,7
20,38,41,6
20,38,40,6
20,38,39,5
20,37,38,6
20,37,37,2
20,36,38,7
19,36,38,2
19,35,39,2
19,34,40,8
19,33,40,4
19,33,41,2
19,32,42,3
19,33,41,9
20,33,41,8
20,32,41,4
20,32,42,10
20,33,42,9
21,33,42,8
21,32,42,7
20,32,42,10
20,33,42,6
20,33,41,3
20,34,40,3
20,35,39,7
19,35,39,8
19,34,39,1
18,34,40,6
18,34,39,6
18,34,38,10
18,35,38,7
17,35,38,6
17,35,37,7
16,35,37,9
17,35,37,2
17,34,38,8
17,33,38,4
17,33,39,8
17,32,39,1
16,32,40,9
17,32,40,6
17,32,39,7
16,32,39,6
16,32,38,6
16,32,37,2
16,31,38,6
16,31,37,7
15,31,37,8
15,30,37,6
15,30,36,4
15,30,37,1
14,30,38,3
14,31,37,9
15,31,37,8
15,30,37,7
14,30,37,10
14,31,37,6
14,31,36,9
15,31,36,8
15,30,36,1
14,30,37,9
15,30,37,9
16,30,37,9
17,30,37,6
17,30,36,6
17,30,35,2
17,29,36,6
17,29,35,9
18,29,35,9
19,29,35,2
19,28,36,1
18,28,37,9
19,28,37,4
19,28,38,2
19,27,39,4
19,27,40,8
19,26,40,6
19,26,39,3
19,27,38,4
19,27,39,9
20,27,39,1
19,27,40,9
20,27,40,1
19,27,41,5
19,26,40,3
19,27,39,5
19,26,38,1
18,26,39,2
18,25,40,3
18,26,39,3
18,27,38,4
18,27,39,7
17,27,39,7
16,27,39,10
16,28,39,7
15,28,39,5
15,27,38,9
16,27,38,2
16,26,39,10
16,27,39,1
15,27,40,6
15,27,39,4
15,27,40,7
14,27,40,6
14,27,39,2
14,26,40,4
14,26,41,4
14,26,42,9
15,26,42,9
16,26,42,3
16,27,41,4
16,27,42,3
16,28,41,8
16,27,41,2
16,26,42,3
16,27,41,1
15,27,42,6
15,27,41,10
15,28,41,4
15,28,42,10
15,29,42,7
14,29,42,3
14,30,41,4
14,30,42,2
14,29,43,3
14,30,42,10
14,31,42,6
14,31,41,6
14,31,40,2
14,30,41,2
14,29,42,4
14,29,43,1
13,29,44,1
12,29,45,8
12,28,45,6
12,28,44,6
12,28,43,3
12,29,42,10
12,30,42,4
12,30,43,9
13,30,43,4
13,30,44,2
13,29,45,3
13,30,44,6
13,30,43,9
14,30,43,2
14,29,44,1
13,29,45,8
13,28,45,9
14,28,45,2
14,27,46,8
14,26,46,2
14,25,47,10
14,26,47,2
14,25,48,6
14,25,47,1
13,25,48,3
13,26,47,3
13,27,46,9
14,27,46,6
14,27,45,4
14,27,46,7
13,27,46,3
13,28,45,8
13,27,45,4
13,27,46,9
14,27,46,2
14,26,47,10
14,27,47,2
14,26,48,4
14,26,49,6
14,26,48,3
14,27,47,6
14,27,46,7
13,27,46,8
13,26,46,3
13,27,45,9
14,27,45,9
15,27,45,8
15,26,45,3
15,27,44,10
15,28,44,7
14,28,44,6
14,28,43,9
15,28,43,8
15,27,43,1
14,27,44,2
14,26,45,8
14,25,45,3
14,26,44,6
14,26,43,3
14,27,42,3
14,28,41,9
15,28,41,3
15,29,40,4
15,29,41,2
15,28,42,4
15,28,43,3
15,29,42,6
15,29,41,6
15,29,40,9
16,29,40,8
16,28,40,1
15,28,41,9
16,28,41,7
