P1,P2,R1,Reaction Type
20,32,46,4
20,32,47,4
20,32,48,6
20,32,47,4
20,32,48,6
20,32,47,8
20,31,47,1
19,31,48,4
19,31,49,2
19,30,50,5
19,29,49,8
19,28,49,3
19,29,48,8
19,28,48,6
19,28,47,10
19,29,47,10
19,30,47,2
19,29,48,7
18,29,48,4
18,29,49,10
18,30,49,3
18,31,48,9
19,31,48,6
19,31,47,6
19,31,46,8
19,30,46,3
19,31,45,3
19,32,44,10
19,33,44,5
19,32,43,8
19,31,43,10
19,32,43,2
19,31,44,2
19,30,45,9
20,30,45,6
20,30,44,2
20,29,45,2
20,28,46,9
21,28,46,3
21,29,45,3
21,30,44,6
21,30,43,2
21,29,44,6
21,29,43,10
21,30,43,6
21,30,42,8
21,29,42,6
21,29,41,1
20,29,42,4
20,29,43,1
19,29,44,8
19,28,44,3
19,29,43,10
19,30,43,3
19,31,42,10
19,32,42,6
19,32,41,5
19,31,40,8
19,30,40,10
19,31,40,4
19,31,41,2
19,30,42,2
19,29,43,6
19,29,42,8
19,28,42,7
18,28,42,10
18,29,42,2
18,28,43,10
18,29,43,7
17,29,43,6
17,29,42,9
18,29,42,1
17,29,43,5
17,28,42,9
18,28,42,4
18,28,43,3
18,29,42,6
18,29,41,2
18,28,42,6
18,28,41,6
18,28,40,8
18,27,40,1
17,27,41,6
17,27,40,9
18,27,40,4
18,27,41,4
18,27,42,4
18,27,43,1
17,27,44,9
18,27,44,10
18,28,44,6
18,28,43,8
18,27,43,8
18,26,43,3
18,27,42,9
19,27,42,8
19,26,42,2
19,25,43,4
19,25,44,10
19,26,44,7
18,26,44,9
19,26,44,3
19,27,43,4
19,27,44,9
20,27,44,9
21,27,44,9
22,27,44,7
21,27,44,4
21,27,45,6
21,27,44,4
21,27,45,4
21,27,46,4
21,27,47,4
21,27,48,5
21,26,47,6
21,26,46,2
21,25,47,7
20,25,47,3
20,26,46,9
21,26,46,8
21,25,46,9
22,25,46,6
22,25,45,4
22,25,46,6
22,25,45,1
21,25,46,2
21,24,47,1
20,24,48,8
20,23,48,7
19,23,48,1
18,23,49,6
18,23,48,3
18,24,47,5
18,23,46,9
19,23,46,10
19,24,46,8
19,23,46,6
19,23,45,5
19,22,44,9
20,22,44,9
21,22,44,8
21,21,44,3
21,22,43,3
21,23,42,4
21,23,43,2
21,22,44,4
21,22,45,3
21,23,44,1
20,23,45,8
20,22,45,8
20,21,45,2
20,20,46,6
20,20,45,6
20,20,44,2
20,19,45,9
21,19,45,4
21,19,46,1
20,19,47,9
21,19,47,7
20,19,47,3
20,20,46,7
19,20,46,1
18,20,47,3
18,21,46,6
18,21,45,8
18,20,45,10
18,21,45,3
18,22,44,2
18,21,45,9
19,21,45,9
20,21,45,3
20,22,44,6
20,22,43,10
20,23,43,8
20,22,43,3
20,23,42,7
19,23,42,10
19,24,42,9
20,24,42,4
20,24,43,1
19,24,44,7
18,24,44,7
17,24,44,4
17,24,45,8
17,23,45,2
17,22,46,10
17,23,46,9
18,23,46,6
18,23,45,3
18,24,44,6
18,24,43,6
18,24,42,3
18,25,41,7
17,25,41,2
17,24,42,3
17,25,41,9
18,25,41,4
18,25,42,2
18,24,43,2
18,23,44,6
18,23,43,6
18,23,42,4
18,23,43,1
17,23,44,4
17,23,45,8
17,22,45,2
17,21,46,3
17,22,45,3
17,23,44,4
17,23,45,4
17,23,46,6
17,23,45,10
17,24,45,10
17,25,45,4
17,25,46,4
17,25,47,6
17,25,46,8
17,24,46,10
17,25,46,6
17,25,45,3
17,26,44,6
17,26,43,3
17,27,42,8
17,26,42,9
18,26,42,4
18,26,43,4
18,26,44,3
18,27,43,8
18,26,43,2
18,25,44,4
18,25,45,3
18,26,44,7
17,26,44,6
17,26,43,7
16,26,43,3
16,27,42,3
16,28,41,6
16,28,40,9
17,28,40,8
17,27,40,6
17,27,39,7
16,27,39,4
16,27,40,9
17,27,40,3
17,28,39,4
17,28,40,6
17,28,39,4
17,28,40,3
17,29,39,3
17,30,38,9
18,30,38,4
18,30,39,9
19,30,39,9
20,30,39,2
20,29,40,3
20,30,39,1
19,30,40,6
19,30,39,2
19,29,40,1
18,29,41,4
18,29,42,10
18,30,42,10
18,31,42,6
18,31,41,1
17,31,42,8
17,30,42,3
17,31,41,1
16,31,42,9
17,31,42,3
17,32,41,8
17,31,41,10
17,32,41,9
18,32,41,2
18,31,42,8
18,30,42,3
18,31,41,9
19,31,41,2
19,30,42,10
19,31,42,2
19,30,43,3
19,31,42,5
19,30,41,7
18,30,41,6
18,30,40,3
18,31,39,4
18,31,40,5
18,30,39,2
18,29,40,1
17,29,41,4
17,29,42,1
16,29,43,2
16,28,44,2
16,27,45,9
17,27,45,4
17,27,46,4
17,27,47,6
17,27,46,6
17,27,45,3
17,28,44,3
17,29,43,2
17,28,44,9
18,28,44,4
18,28,45,10
18,29,45,3
18,30,44,6
18,30,43,6
18,30,42,6
18,30,41,2
18,29,42,2
18,28,43,10
18,29,43,8
18,28,43,2
18,27,44,10
18,28,44,9
19,28,44,10
19,29,44,3
19,30,43,9
20,30,43,4
20,30,44,5
20,29,43,8
20,28,43,9
21,28,43,3
21,29,42,10
21,30,42,3
21,31,41,6
21,31,40,4
21,31,41,2
21,30,42,2
21,29,43,9
22,29,43,5
22,28,42,4
22,28,43,1
21,28,44,4
21,28,45,6
21,28,44,2
21,27,45,5
21,26,44,3
21,27,43,10
21,28,43,3
21,29,42,3
21,30,41,8
21,29,41,4
21,29,42,1
20,29,43,9
21,29,43,3
21,30,42,6
21,30,41,3
21,31,40,7
20,31,40,6
20,31,39,3
20,32,38,9
21,32,38,10
21,33,38,8
21,32,38,3
21,33,37,4
21,33,38,10
21,34,38,6
21,34,37,8
21,33,37,6
21,33,36,2
21,32,37,3
21,33,36,6
21,33,35,9
22,33,35,6
22,33,34,2
22,32,35,3
22,33,34,8
22,32,34,9
23,32,34,3
23,33,33,10
23,34,33,1
22,34,34,10
22,35,34,4
22,35,35,10
22,36,35,5
22,35,34,4
22,35,35,9
23,35,35,2
23,34,36,3
23,35,35,6
23,35,34,3
23,36,33,1
22,36,34,2
22,35,35,9
23,35,35,9
24,35,35,8
24,34,35,6
24,34,34,6
24,34,33,1
23,34,34,3
23,35,33,8
23,34,33,3
23,35,32,6
23,35,31,9
24,35,31,7
23,35,31,10
23,36,31,8
23,35,31,5
23,34,30,5
23,33,29,2
23,32,30,2
23,31,31,7
22,31,31,6
22,31,30,2
22,30,31,8
22,29,31,1
21,29,32,3
21,30,31,1
20,30,32,10
20,31,32,9
21,31,32,6
21,31,31,9
22,31,31,5
22,30,30,8
22,29,30,7
21,29,30,2
21,28,31,10
21,29,31,9
22,29,31,8
22,28,31,4
22,28,32,10
22,29,32,5
22,28,31,8
22,27,31,2
22,26,32,1
21,26,33,4
21,26,34,6
21,26,33,8
21,25,33,4
21,25,34,3
21,26,33,10
21,27,33,9
22,27,33,4
22,27,34,4
22,27,35,3
22,28,34,2
22,27,35,8
22,26,35,10
22,27,35,8
22,26,35,3
22,27,34,7
21,27,34,4
21,27,35,10
21,28,35,2
21,27,36,4
21,27,37,8
21,26,37,10
21,27,37,6
21,27,36,4
21,27,37,5
21,26,36,9
22,26,36,4
22,26,37,9
23,26,37,9
24,26,37,6
24,26,36,7
23,26,36,2
23,25,37,8
23,24,37,4
23,24,38,6
23,24,37,2
23,23,38,5
23,22,37,2
23,21,38,10
23,22,38,3
23,23,37,4
23,23,38,6
23,23,37,3
23,24,36,8
23,23,36,4
23,23,37,9
24,23,37,10
24,24,37,8
24,23,37,1
23,23,38,1
22,23,39,4
22,23,40,6
22,23,39,3
22,24,38,6
22,24,37,3
22,25,36,3
22,26,35,10
22,27,35,10
22,28,35,3
22,29,34,3
22,30,33,6
22,30,32,3
22,31,31,7
21,31,31,6
21,31,30,3
21,32,29,7
20,32,29,4
20,32,30,9
21,32,30,4
21,32,31,7
20,32,31,3
20,33,30,4
20,33,31,2
20,32,32,2
20,31,33,8
20,30,33,1
19,30,34,9
20,30,34,3
20,31,33,9
21,31,33,8
21,30,33,3
21,31,32,9
22,31,32,8
22,30,32,10
22,31,32,2
22,30,33,4
22,30,34,7
21,30,34,2
21,29,35,9
22,29,35,3
22,30,34,3
22,31,33,4
22,31,34,9
23,31,34,3
23,32,33,6
23,32,32,10
23,33,32,6
23,33,31,9
24,33,31,2
24,32,32,2
24,31,33,1
23,31,34,9
24,31,34,9
25,31,34,10
25,32,34,2
25,31,35,9
26,31,35,1
25,31,36,4
25,31,37,6
25,31,36,4
25,31,37,4
25,31,38,6
25,31,37,4
25,31,38,4
25,31,39,8
25,30,39,7
24,30,39,10
24,31,39,7
23,31,39,8
23,30,39,10
23,31,39,2
23,30,40,2
23,29,41,7
22,29,41,3
22,30,40,3
22,31,39,1
21,31,40,4
21,31,41,6
21,31,40,6
21,31,39,9
22,31,39,4
22,31,40,8
22,30,40,9
23,30,40,10
23,31,40,10
23,32,40,10
23,33,40,8
23,32,40,9
24,32,40,9
25,32,40,3
25,33,39,2
25,32,40,8
25,31,40,3
25,32,39,3
25,33,38,4
25,33,39,6
25,33,38,7
24,33,38,9
25,33,38,10
25,34,38,10
25,35,38,9
26,35,38,7
25,35,38,4
25,35,39,9
26,35,39,3
26,36,38,2
26,35,39,2
26,34,40,4
26,34,41,3
26,35,40,8
26,34,40,3
26,35,39,3
26,36,38,9
27,36,38,6
27,36,37,6
27,36,36,10
27,37,36,10
27,38,36,2
27,37,37,10
27,38,37,7
26,38,37,10
26,39,37,8
26,38,37,8
26,37,37,9
27,37,37,6
27,37,36,10
27,38,36,9
28,38,36,6
28,38,35,4
28,38,36,8
28,37,36,6
28,37,35,1
27,37,36,1
26,37,37,4
26,37,38,2
26,36,39,4
26,36,40,6
26,36,39,7
25,36,39,4
25,36,40,10
25,37,40,10
25,38,40,3
25,39,39,4
25,39,40,8
25,38,40,1
24,38,41,8
24,37,41,3
24,38,40,9
25,38,40,10
25,39,40,10
25,40,40,3
25,41,39,4
25,41,40,9
26,41,40,7
25,41,40,4
25,41,41,6
25,41,40,7
24,41,40,8
24,40,40,3
24,41,39,8
24,40,39,4
24,40,40,10
24,41,40,10
24,42,40,2
24,41,41,9
25,41,41,7
24,41,41,6
24,41,40,1
23,41,41,4
23,41,42,9
24,41,42,4
24,41,43,8
24,40,43,4
24,40,44,2
24,39,45,4
24,39,46,5
24,38,45,10
24,39,45,5
24,38,44,3
24,39,43,4
24,39,44,1
23,39,45,5
23,38,44,10
23,39,44,2
23,38,45,3
23,39,44,3
23,40,43,3
23,41,42,1
22,41,43,1
21,41,44,9
22,41,44,6
22,41,43,9
23,41,43,4
23,41,44,9
24,41,44,5
24,40,43,1
23,40,44,8
23,39,44,6
23,39,43,7
22,39,43,4
22,39,44,6
22,39,43,5
22,38,42,2
22,37,43,6
22,37,42,9
23,37,42,3
23,38,41,2
23,37,42,7
22,37,42,6
22,37,41,1
21,37,42,9
22,37,42,4
22,37,43,4
22,37,44,7
21,37,44,1
20,37,45,3
20,38,44,1
19,38,45,6
19,38,44,6
19,38,43,2
19,37,44,9
20,37,44,9
21,37,44,3
21,38,43,3
21,39,42,8
21,38,42,6
21,38,41,3
21,39,40,5
21,38,39,9
22,38,39,8
22,37,39,8
22,36,39,8
22,35,39,9
23,35,39,7
22,35,39,9
23,35,39,9
24,35,39,1
23,35,40,7
22,35,40,6
22,35,39,6
22,35,38,6
22,35,37,9
23,35,37,7
22,35,37,2
22,34,38,3
22,35,37,1
21,35,38,10
21,36,38,2
21,35,39,2
21,34,40,5
21,33,39,8
21,32,39,6
21,32,38,9
22,32,38,9
23,32,38,6
23,32,37,1
22,32,38,8
22,31,38,8
22,30,38,4
22,30,39,10
22,31,39,8
22,30,39,7
21,30,39,5
21,29,38,3
21,30,37,3
21,31,36,8
21,30,36,6
21,30,35,5
21,29,34,6
21,29,33,6
21,29,32,2
21,28,33,6
21,28,32,2
21,27,33,6
21,27,32,10
21,28,32,9
22,28,32,9
23,28,32,1
22,28,33,3
22,29,32,9
23,29,32,10
23,30,32,1
22,30,33,10
22,31,33,1
21,31,34,3
21,32,33,8
21,31,33,6
21,31,32,6
21,31,31,5
21,30,30,6
21,30,29,8
21,29,29,7
20,29,29,4
20,29,30,1
19,29,31,9
20,29,31,8
20,28,31,10
20,29,31,8
20,28,31,9
21,28,31,7
20,28,31,7
19,28,31,6
19,28,30,8
19,27,30,9
20,27,30,6
20,27,29,4
20,27,30,5
20,26,29,6
20,26,28,6
20,26,27,9
21,26,27,4
21,26,28,1
20,26,29,3
20,27,28,10
20,28,28,3
20,29,27,9
21,29,27,1
20,29,28,3
20,30,27,3
20,31,26,8
20,30,26,3
20,31,25,7
19,31,25,6
19,31,24,9
20,31,24,9
21,31,24,1
20,31,25,8
20,30,25,6
20,30,24,2
20,29,25,3
20,30,24,8
20,29,24,10
20,30,24,9
21,30,24,10
21,31,24,10
21,32,24,4
21,32,25,2
21,31,26,9
22,31,26,2
22,30,27,10
22,31,27,10
22,32,27,9
23,32,27,7
22,32,27,1
21,32,28,9
22,32,28,2
22,31,29,7
21,31,29,4
21,31,30,1
20,31,31,2
20,30,32,8
20,29,32,10
20,30,32,4
20,30,33,3
20,31,32,3
20,32,31,8
20,31,31,10
20,32,31,1
19,32,32,10
19,33,32,6
19,33,31,4
19,33,32,2
19,32,33,1
18,32,34,4
18,32,35,6
18,32,34,10
18,33,34,9
19,33,34,2
19,32,35,6
19,32,34,8
19,31,34,1
18,31,35,1
17,31,36,10
17,32,36,9
18,32,36,10
18,33,36,2
18,32,37,6
18,32,36,10
18,33,36,10
18,34,36,6
18,34,35,9
19,34,35,5
19,33,34,6
19,33,33,2
19,32,34,10
19,33,34,2
19,32,35,4
19,32,36,6
19,32,35,2
19,31,36,8
19,30,36,6
19,30,35,10
19,31,35,10
19,32,35,9
20,32,35,2
20,31,36,4
20,31,37,6
20,31,36,1
19,31,37,9
20,31,37,3
20,32,36,4
20,32,37,6
20,32,36,8
20,31,36,6
20,31,35,9
21,31,35,9
22,31,35,9
23,31,35,4
23,31,36,1
22,31,37,6
22,31,36,4
22,31,37,9
23,31,37,4
23,31,38,5
23,30,37,6
23,30,36,5
23,29,35,9
24,29,35,1
23,29,36,9
24,29,36,10
24,30,36,10
24,31,36,4
24,31,37,6
24,31,36,10
24,32,36,6
24,32,35,4
24,32,36,9
25,32,36,4
25,32,37,8
25,31,37,2
25,30,38,3
25,31,37,6
25,31,36,5
25,30,35,1
24,30,36,5
24,29,35,2
24,28,36,9
25,28,36,5
25,27,35,1
24,27,36,4
24,27,37,10
24,28,37,6
24,28,36,5
24,27,35,3
24,28,34,7
23,28,34,10
23,29,34,7
22,29,34,9
23,29,34,6
23,29,33,1
22,29,34,3
22,30,33,9
23,30,33,6
23,30,32,4
23,30,33,6
23,30,32,9
24,30,32,4
24,30,33,6
24,30,32,4
24,30,33,4
24,30,34,8
24,29,34,8
24,28,34,4
24,28,35,6
24,28,34,10
24,29,34,4
24,29,35,2
24,28,36,5
24,27,35,3
24,28,34,7
23,28,34,9
24,28,34,2
24,27,35,3
24,28,34,8
24,27,34,10
24,28,34,8
24,27,34,3
24,28,33,7
23,28,33,10
23,29,33,3
23,30,32,4
23,30,33,4
23,30,34,6
23,30,33,10
23,31,33,1
22,31,34,8
22,30,34,2
22,29,35,7
21,29,35,10
21,30,35,7
20,30,35,4
20,30,36,1
19,30,37,9
20,30,37,2
20,29,38,4
20,29,39,6
20,29,38,2
20,28,39,1
19,28,40,10
19,29,40,4
19,29,41,6
19,29,40,4
19,29,41,2
19,28,42,4
19,28,43,5
19,27,42,4
19,27,43,2
19,26,44,9
20,26,44,3
20,27,43,1
19,27,44,9
20,27,44,4
20,27,45,3
20,28,44,8
20,27,44,4
20,27,45,6
20,27,44,1
19,27,45,10
19,28,45,6
19,28,44,9
20,28,44,10
20,29,44,3
20,30,43,8
20,29,43,10
20,30,43,4
20,30,44,10
20,31,44,1
19,31,45,5
19,30,44,5
19,29,43,9
20,29,43,2
20,28,44,2
20,27,45,6
20,27,44,10
20,28,44,6
20,28,43,9
21,28,43,5
21,27,42,8
21,26,42,6
21,26,41,2
21,25,42,6
21,25,41,1
20,25,42,9
21,25,42,3
21,26,41,4
21,26,42,6
21,26,41,4
21,26,42,9
22,26,42,4
22,26,43,3
22,27,42,10
22,28,42,3
22,29,41,9
23,29,41,9
24,29,41,2
24,28,42,3
24,29,41,2
24,28,42,2
24,27,43,6
24,27,42,1
23,27,43,8
23,26,43,8
23,25,43,3
23,26,42,7
22,26,42,6
22,26,41,6
22,26,40,4
22,26,41,4
22,26,42,4
22,26,43,7
21,26,43,8
21,25,43,1
20,25,44,5
20,24,43,1
19,24,44,10
19,25,44,3
19,26,43,6
19,26,42,6
19,26,41,9
20,26,41,7
19,26,41,2
19,25,42,1
18,25,43,1
17,25,44,9
18,25,44,6
18,25,43,1
17,25,44,2
17,24,45,6
17,24,44,6
17,24,43,3
17,25,42,8
17,24,42,9
18,24,42,6
18,24,41,7
17,24,41,4
17,24,42,4
17,24,43,4
17,24,44,8
17,23,44,3
17,24,43,4
17,24,44,4
17,24,45,4
17,24,46,10
17,25,46,4
17,25,47,8
17,24,47,10
17,25,47,8
17,24,47,6
17,24,46,6
17,24,45,3
17,25,44,3
17,26,43,10
17,27,43,6
17,27,42,4
17,27,43,8
17,26,43,3
17,27,42,8
17,26,42,8
17,25,42,2
17,24,43,3
17,25,42,9
18,25,42,10
18,26,42,2
18,25,43,3
18,26,42,2
18,25,43,1
17,25,44,3
17,26,43,1
16,26,44,4
16,26,45,10
16,27,45,9
17,27,45,3
17,28,44,5
17,27,43,9
18,27,43,4
18,27,44,9
19,27,44,7
18,27,44,9
19,27,44,4
19,27,45,6
19,27,44,10
19,28,44,8
19,27,44,3
19,28,43,2
19,27,44,7
18,27,44,6
18,27,43,3
18,28,42,1
17,28,43,6
17,28,42,2
17,27,43,4
17,27,44,4
17,27,45,4
17,27,46,9
18,27,46,4
18,27,47,2
18,26,48,1
17,26,49,8
17,25,49,8
17,24,49,10
17,25,49,10
17,26,49,3
17,27,48,2
17,26,49,8
17,25,49,9
18,25,49,6
18,25,48,9
19,25,48,2
19,24,49,6
19,24,48,4
19,24,49,2
19,23,50,10
19,24,50,3
19,25,49,9
20,25,49,3
20,26,48,8
20,25,48,6
20,25,47,6
20,25,46,4
20,25,47,9
21,25,47,9
22,25,47,4
22,25,48,4
22,25,49,2
22,24,50,3
22,25,49,5
22,24,48,9
23,24,48,6
23,24,47,1
22,24,48,6
22,24,47,4
22,24,48,2
22,23,49,3
22,24,48,8
22,23,48,8
22,22,48,6
22,22,47,10
22,23,47,10
22,24,47,9
23,24,47,3
23,25,46,7
22,25,46,2
22,24,47,3
22,25,46,6
22,25,45,3
22,26,44,10
22,27,44,4
22,27,45,8
22,26,45,3
22,27,44,4
22,27,45,3
22,28,44,4
22,28,45,2
22,27,46,2
22,26,47,4
22,26,48,10
22,27,48,6
22,27,47,2
22,26,48,2
22,25,49,7
21,25,49,3
21,26,48,8
21,25,48,8
21,24,48,3
21,25,47,4
21,25,48,8
21,24,48,4
21,24,49,4
21,24,50,3
21,25,49,6
21,25,48,10
21,26,48,6
21,26,47,10
21,27,47,9
22,27,47,2
22,26,48,9
23,26,48,2
23,25,49,4
23,25,50,10
23,26,50,10
23,27,50,6
23,27,49,7
22,27,49,6
22,27,48,7
21,27,48,5
21,26,47,10
21,27,47,3
21,28,46,2
21,27,47,10
21,28,47,4
21,28,48,6
21,28,47,3
21,29,46,10
21,30,46,3
21,31,45,8
21,30,45,3
21,31,44,6
21,31,43,1
20,31,44,3
20,32,43,6
20,32,42,2
20,31,43,6
20,31,42,3
20,32,41,9
21,32,41,4
21,32,42,4
21,32,43,8
21,31,43,3
21,32,42,9
22,32,42,10
22,33,42,1
21,33,43,6
21,33,42,2
21,32,43,2
21,31,44,3
21,32,43,5
21,31,42,9
22,31,42,8
22,30,42,6
22,30,41,4
22,30,42,7
21,30,42,8
21,29,42,9
22,29,42,1
21,29,43,7
20,29,43,8
20,28,43,10
20,29,43,10
20,30,43,4
20,30,44,2
20,29,45,6
20,29,44,8
20,28,44,7
19,28,44,1
18,28,45,10
18,29,45,3
18,30,44,10
18,31,44,2
18,30,45,4
18,30,46,4
18,30,47,2
18,29,48,8
18,28,48,4
18,28,49,6
18,28,48,2
18,27,49,4
18,27,50,10
18,28,50,6
18,28,49,3
18,29,48,10
18,30,48,8
18,29,48,1
17,29,49,3
17,30,48,4
17,30,49,7
16,30,49,1
15,30,50,2
15,29,51,6
15,29,50,6
15,29,49,2
15,28,50,10
15,29,50,5
15,28,49,9
16,28,49,3
16,29,48,5
16,28,47,9
17,28,47,4
17,28,48,6
17,28,47,10
17,29,47,3
17,30,46,3
17,31,45,10
17,32,45,2
17,31,46,4
17,31,47,5
17,30,46,9
18,30,46,4
18,30,47,4
18,30,48,2
18,29,49,3
18,30,48,4
18,30,49,9
19,30,49,9
20,30,49,3
20,31,48,3
20,32,47,6
20,32,46,9
21,32,46,10
21,33,46,3
21,34,45,10
21,35,45,6
21,35,44,10
21,36,44,4
21,36,45,4
21,36,46,6
21,36,45,6
21,36,44,8
21,35,44,3
21,36,43,6
21,36,42,9
22,36,42,10
22,37,42,2
22,36,43,3
22,37,42,10
22,38,42,10
22,39,42,9
23,39,42,3
23,40,41,6
23,40,40,4
23,40,41,9
24,40,41,8
24,39,41,9
25,39,41,6
25,39,40,8
25,38,40,9
26,38,40,3
26,39,39,7
25,39,39,2
25,38,40,3
25,39,39,9
26,39,39,9
27,39,39,3
27,40,38,9
28,40,38,8
28,39,38,7
27,39,38,2
27,38,39,1
26,38,40,9
27,38,40,9
28,38,40,1
27,38,41,9
28,38,41,10
28,39,41,7
27,39,41,8
27,38,41,8
27,37,41,6
27,37,40,4
27,37,41,7
26,37,41,2
26,36,42,1
25,36,43,3
25,37,42,7
24,37,42,9
25,37,42,9
26,37,42,4
26,37,43,1
25,37,44,9
26,37,44,6
26,37,43,3
26,38,42,1
25,38,43,10
25,39,43,9
26,39,43,9
27,39,43,7
26,39,43,6
26,39,42,2
26,38,43,3
26,39,42,7
25,39,42,8
25,38,42,6
25,38,41,2
25,37,42,3
25,38,41,10
25,39,41,2
25,38,42,10
25,39,42,3
25,40,41,7
24,40,41,3
24,41,40,7
23,41,40,6
23,41,39,10
23,42,39,6
23,42,38,6
23,42,37,6
23,42,36,2
23,41,37,4
23,41,38,6
23,41,37,9
24,41,37,4
24,41,38,1
23,41,39,9
24,41,39,9
25,41,39,7
24,41,39,1
23,41,40,9
24,41,40,1
23,41,41,7
22,41,41,2
22,40,42,9
23,40,42,1
22,40,43,5
22,39,42,10
22,40,42,2
22,39,43,6
22,39,42,6
22,39,41,4
22,39,42,2
22,38,43,8
22,37,43,2
22,36,44,10
22,37,44,6
22,37,43,6
22,37,42,3
22,38,41,9
23,38,41,3
23,39,40,9
24,39,40,9
25,39,40,9
26,39,40,8
26,38,40,8
26,37,40,1
25,37,41,10
25,38,41,9
26,38,41,9
27,38,41,5
27,37,40,6
27,37,39,3
27,38,38,6
27,38,37,6
27,38,36,6
27,38,35,2
27,37,36,3
27,38,35,9
28,38,35,1
27,38,36,4
27,38,37,9
28,38,37,9
29,38,37,9
30,38,37,4
30,38,38,9
31,38,38,4
31,38,39,2
31,37,40,3
31,38,39,9
32,38,39,2
32,37,40,10
32,38,40,4
32,38,41,10
32,39,41,3
32,40,40,3
32,41,39,5
32,40,38,5
32,39,37,6
32,39,36,8
32,38,36,3
32,39,35,3
32,40,34,4
32,40,35,8
32,39,35,2
32,38,36,2
32,37,37,4
32,37,38,9
33,37,38,9
34,37,38,1
33,37,39,3
33,38,38,2
33,37,39,2
33,36,40,9
34,36,40,4
34,36,41,9
35,36,41,4
35,36,42,6
35,36,41,9
36,36,41,5
36,35,40,1
35,35,41,3
35,36,40,10
35,37,40,3
35,38,39,4
35,38,40,7
34,38,40,1
33,38,41,1
32,38,42,10
32,39,42,2
32,38,43,4
32,38,44,8
32,37,44,3
32,38,43,9
33,38,43,9
34,38,43,3
34,39,42,4
34,39,43,1
33,39,44,8
33,38,44,3
33,39,43,9
34,39,43,5
34,38,42,10
34,39,42,7
33,39,42,9
34,39,42,8
34,38,42,9
35,38,42,1
34,38,43,8
34,37,43,6
34,37,42,8
34,36,42,1
33,36,43,3
33,37,42,7
32,37,42,4
32,37,43,10
32,38,43,1
31,38,44,8
31,37,44,5
31,36,43,2
31,35,44,7
30,35,44,10
30,36,44,9
31,36,44,5
31,35,43,10
31,36,43,3
31,37,42,10
31,38,42,4
31,38,43,8
31,37,43,3
31,38,42,2
31,37,43,9
32,37,43,4
32,37,44,10
32,38,44,3
32,39,43,1
31,39,44,6
31,39,43,8
31,38,43,10
31,39,43,4
31,39,44,9
32,39,44,2
32,38,45,1
31,38,46,4
31,38,47,8
31,37,47,4
31,37,48,2
31,36,49,3
31,37,48,4
31,37,49,4
31,37,50,8
31,36,50,3
31,37,49,6
31,37,48,2
31,36,49,6
31,36,48,9
32,36,48,8
32,35,48,8
32,34,48,9
33,34,48,4
33,34,49,4
33,34,50,8
33,33,50,3
33,34,49,10
33,35,49,10
33,36,49,9
34,36,49,9
35,36,49,2
35,35,50,9
36,35,50,7
35,35,50,10
35,36,50,9
36,36,50,7
35,36,50,2
35,35,51,2
35,34,52,6
35,34,51,8
35,33,51,6
35,33,50,4
35,33,51,9
36,33,51,4
36,33,52,7
35,33,52,7
34,33,52,8
34,32,52,7
33,32,52,1
32,32,53,4
32,32,54,3
32,33,53,6
32,33,52,3
32,34,51,6
32,34,50,4
32,34,51,8
32,33,51,1
31,33,52,6
31,33,51,8
31,32,51,3
31,33,50,6
31,33,49,8
31,32,49,6
31,32,48,6
31,32,47,4
31,32,48,4
31,32,49,3
31,33,48,8
31,32,48,6
31,32,47,4
31,32,48,4
31,32,49,4
31,32,50,8
31,31,50,1
30,31,51,3
30,32,50,4
30,32,51,3
30,33,50,6
30,33,49,7
29,33,49,9
30,33,49,7
29,33,49,4
29,33,50,6
29,33,49,4
29,33,50,6
29,33,49,7
28,33,49,9
29,33,49,1
28,33,50,4
28,33,51,4
28,33,52,6
28,33,51,5
28,32,50,3
28,33,49,9
29,33,49,7
28,33,49,7
27,33,49,10
27,34,49,4
27,34,50,8
27,33,50,1
26,33,51,10
26,34,51,1
25,34,52,7
24,34,52,4
24,34,53,6
24,34,52,6
24,34,51,7
23,34,51,3
23,35,50,3
23,36,49,4
23,36,50,6
23,36,49,4
23,36,50,3
23,37,49,9
24,37,49,5
24,36,48,7
23,36,48,8
23,35,48,3
23,36,47,1
22,36,48,7
21,36,48,4
21,36,49,6
21,36,48,4
21,36,49,6
21,36,48,8
21,35,48,3
21,36,47,5
21,35,46,6
21,35,45,1
20,35,46,9
21,35,46,4
21,35,47,9
22,35,47,4
22,35,48,6
22,35,47,5
22,34,46,8
22,33,46,1
21,33,47,2
21,32,48,5
21,31,47,9
22,31,47,6
22,31,46,3
22,32,45,2
22,31,46,10
22,32,46,4
22,32,47,9
23,32,47,8
23,31,47,9
24,31,47,9
25,31,47,4
25,31,48,10
25,32,48,9
26,32,48,6
26,32,47,10
26,33,47,9
27,33,47,3
27,34,46,8
27,33,46,6
27,33,45,4
27,33,46,9
28,33,46,1
27,33,47,9
28,33,47,9
29,33,47,10
29,34,47,10
29,35,47,10
29,36,47,3
29,37,46,1
28,37,47,2
28,36,48,4
28,36,49,2
28,35,50,9
29,35,50,9
30,35,50,6
30,35,49,4
30,35,50,10
30,36,50,3
30,37,49,10
30,38,49,3
30,39,48,6
30,39,47,3
30,40,46,8
30,39,46,4
30,39,47,5
30,38,46,3
30,39,45,9
31,39,45,10
31,40,45,5
31,39,44,3
31,40,43,5
31,39,42,1
30,39,43,3
